"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4594]","OCEAN ISLAND","ICELAND / ICELAND / ÖRAEFAJÖKULL","","64.03","64.03","-16.68","-16.68","SAE","","","s_OR98 [4594]","BENMOREITE [4594]","","","","","","","","","VOL","","","","","WR [4594] ","57.8","1.62","","13.73","","2.1","10.61","","5.45","1.56","0.32","","1.53","4.88","0.58","","","","","","","","","","","","","","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","5","4","","","23","4","","126","","","","","","32","306","83","395","50.8","","","","","","","","","","","","0.38","395","44.1","95","12.16","55.7","15.47","5.3","16","2.73","16.43","3.24","8.66","1.17","7.1","1.1","10.9","3.11","","","","","","","","","","","4.1","1.21","0.512991","","","0.703762","","18.51","","15.515","","38.445","","","","","","","","","","","","","","","100273",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-01 [20101]","BENMOREITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","57.4","0.77","","18.15","","","","5.16","5.75","2.2","0.16","","2.2","4.86","0.29","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","101","13.69","","","31.2","","27.7","56","19.5","","","","","35","679.9","21","223.9","24.3","","","","","","","","","","","","1","361","34.6","62","6.96","25.2","4.61","1.5","4.35","0.59","3.53","0.72","2.11","0.32","2.09","0.35","4.3","1.6","153.4","","","","","","","","","","5.2","1.4","0.512858","","","0.704085","","","","","","","","","","","","","","","","","","","","","1019326",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-09 [20101]","BENMOREITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","52.19","0.84","","17.36","","","","5.96","4.79","2.33","0.13","","2.27","4.48","0.41","","","","","","","","","","","","","","","","8.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","113","","","","28.6","","23","65","19.4","","","","","43.2","397.9","20.6","212.4","23.8","","","","","","","","","","","","0.5","251","36.5","66.8","7.5","27.5","4.51","1.48","4.35","0.61","3.78","0.7","2.03","0.31","1.97","0.33","4.7","1.7","117.7","","","","","","","","","","5.7","1.5","","","","","","","","","","","","","","","","","","","","","","","","","1019327",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-31 [20101]","BENMOREITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","55.31","0.74","","17.45","","","","5.84","7.29","1.48","0.13","","1.91","3.96","0.25","","","","","","","","","","","","","","","","4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","80","","","","26.7","1.4","6.1","98","18.6","","","","","47.8","538.1","24.1","195.8","14.6","","","","","","","","","","","","0.6","304","26.5","48.5","5.49","21.6","4.45","1.32","4.39","0.7","4.18","0.85","2.56","0.38","2.49","0.44","4.5","1.2","171.2","","","","","","","","","","6.7","2","","","","","","","","","","","","","","","","","","","","","","","","","1019328",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-54 [20101]","BENMOREITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","58.47","0.7","","17.58","","","","5.4","4.6","1.9","0.14","","2.7","4.68","0.34","","","","","","","","","","","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","71","","","","43.9","1.2","7","55","18.5","","","","","69.6","558","20.1","207","25.6","","","","","","","","","","","","2.6","544","34","62.1","6.74","25.2","4.22","1.33","3.96","0.67","3.5","0.73","2.13","0.35","2.25","0.36","4.8","2.5","266","","","","","","","","","","8.9","2.1","","","","","","","","","","","","","","","","","","","","","","","","","1019329",
"[20056]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO / CEBORUCO","VOLCAN CEBORUCO AREA","21.09353","21.09353","-104.5776","-104.5776","SAE","","","s_CEB1 [20056]","BENMOREITE [20056]","","","","","","","","","VOL","","","","","WR [20056] ","58.75","1.29","","16.93","","","","6.42","5.62","2.84","0.124","","2.05","4.27","0.402","","","","","","","","","","","","","","","","-0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","19","","","16","13","21","85","","","","","","31.9","571.5","27.1","231","20.1","","","","","","","","","","","","","786","23.9","51.2","6.01","23.4","4.92","1.45","4.62","0.66","","0.71","1.93","0.31","1.79","0.46","","","","","","","","","","","","","","","0.512765","","","0.703982","","","","","","","","","","","","","","","","","","","","","1023895",
"[20288]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / TENDUREK","","39.2","39.2","44","44","SAE","","","s_07-60 [20288]","BENMOREITE [20288]","","","","QUATERNARY [20288]","","","","","VOL","","","","","WR [20288] ","56.39","1.31","","18.31","","","11.01","6.26","3.36","1.43","0.19","","3.66","6.84","0.39","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","4","","","","","","","","","","","","","4","","20","","","","5.3","0.7","2.3","107","22.9","","1.6","0.6","","83","300.1","55.2","531.3","44.3","1","","","","0","0.2","","4","0.2","","","1","647","58.6","125.3","14.08","49.2","9.6","2.77","9.93","1.64","9.14","1.92","5.9","0.92","6.18","0.9","11.6","2.1","0.7","","","","","0","0","0.2","15","0","10.2","2.9","0.512755","","","0.705441","","19.0372","","15.6795","","39.0511","","","","","","","","","","","","","","","1044966",
"[20288]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / TENDUREK","","39.2","39.2","44","44","SAE","","","s_07-79 [20288]","BENMOREITE [20288]","","","","QUATERNARY [20288]","","","","","VOL","","","","","WR [20288] ","56.12","1.37","","17.74","","","4.82","6.84","4.44","2.14","0.18","","2.72","6.53","0.52","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","3","","","","","","","","","","","","","10","","72","","","","11.2","0.4","2.7","94","21.2","","1.1","0.7","","60.3","331.9","45","395.8","31.2","1.9","","","","0","0","","3","0.1","","","1.4","434","42","86.9","9.79","39.1","7.57","2.23","7.74","1.28","7.31","1.55","4.63","0.72","4.48","0.71","7.7","1.4","0.8","","","","","1","0","0.1","8.1","0","8.2","2.9","","","","","","","","","","","","","","","","","","","","","","","","","1044967",
"[20288]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / TENDUREK","","39.2","39.2","44","44","SAE","","","s_08-136 [20288]","BENMOREITE [20288]","","","","QUATERNARY [20288]","","","","","VOL","","","","","WR [20288] ","56.96","1.05","","18.85","","","","5.76","2.51","1.05","0.19","","3.96","7.09","0.3","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","0","","","","3.7","0.1","2.6","116","23.2","","1.7","0","","113.8","300.5","54.8","547.4","45.9","1","","","","0","0.1","","4","0.2","","","2.1","784","56.9","111.1","12.11","46.3","9","2.42","8.03","1.39","8.61","1.75","5.27","0.92","6.08","0.94","11.9","2.6","0","","","","","0","0","0.3","14.1","0","12.6","3.2","0.512781","","","0.705252","","19.0613","","15.6757","","39.0408","","","","","","","","","","","","","","","1044980",
"[20288]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / TENDUREK","","39.2","39.2","44","44","SAE","","","s_08-137 [20288]","BENMOREITE [20288]","","","","QUATERNARY [20288]","","","","","VOL","","","","","WR [20288] ","56.65","1.08","","18.67","","","","5.76","2.57","1","0.19","","3.89","7.18","0.3","","","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","0","","","","4.6","0.5","3.8","101","22.5","","3.1","0","","82.7","244.5","56.1","570.7","49.4","2.3","","","","0","0","","5","0.2","","","2.1","824","57","112.5","12.49","45","8.32","2.49","7.88","1.43","8.25","1.87","5.79","0.93","6.21","0.98","11.2","2.4","1.1","","","","","0","0","0.1","10.8","0","14.1","4.2","","","","","","","","","","","","","","","","","","","","","","","","","1044981",
