"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","LAKE SÄRKILAMPI","61","61","33","33","SAE","","","s_FZ-44I [17805]","CARBONATITE, APATITE [17805]","","","","ARCHEAN [17805]","","","","","PLU","","","","","WR [17805] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1500","50","","700","","10","","20","","","","","","","","2000","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002574",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","LAKE SÄRKILAMPI","61","61","33","33","SAE","","","s_FZ-44E [17805]","CARBONATITE, APATITE [17805]","","","","ARCHEAN [17805]","","","","","PLU","","","","","WR [17805] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","300","","","","","","","","","","","","1000","","200","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002575",
"[20006]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / LIAONING PROVINCE / SAIMA COMPLEX","","41","41","124","124","SAE","","","s_FW04-336 [20006]","CARBONATITE [20006]","","","","TRIASSIC [20006]","","","","","PLU","","","","","WR [20006] ","10.48","0.09","","2","","","","0.75","47.26","0.96","0.2","","0.62","0","0.08","","","","","","","","","","","","","","","","37.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","15.3","12.8","","","2.22","11.3","","","1.8","","","","","19","2149","13.6","22.9","2.82","","","","","","","","","","","","3.4","2026","33.1","66.4","8.24","32","5.54","1.82","5.04","0.6","2.77","0.42","0.93","0.1","0.56","0.08","0.64","0.17","","","","","","","","","9.14","","1.3","1.76","0.511896","","","0.708931","","","","","","","","","","","","","","","","","","","","","1010511",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1421 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","677.3","677.8","","","WR [17954] ","34.9","0.14","","10.7","","2.02","5.4","","9.12","18.3","0.17","","8.15","0.8","2.77","","0.69","0.3","","5.04","","","","","","","","","","0.02","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","0","","15","12","","","19","0","6","170","","","","","","140","800","30","100","300","0","","","","","","","","","","","","1200","0","110","","60","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013864",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1422 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","17.4","17.9","","","WR [17954] ","27.3","0.23","","3.34","","3.33","3.49","","27.1","7.75","0.21","","2.17","2.68","3.95","","0.02","0.26","","18.2","","","","","","","","","","0.02","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","20","","35","84","","","14","12","8","98","","","","","","50","3000","70","450","70","0","","","","","","","","","","","","400","0","210","","120","","","","","","","","","3","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013865",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1424 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","76.2","76.9","","","WR [17954] ","41.7","0.49","","6.02","","4.5","6.57","","13.8","12.7","0.23","","3.69","2.7","1.86","","0.61","0.23","","3.94","","","","","","","","","","0.04","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","20","","40","93","","","25","22","12","140","","","","","","90","600","25","800","90","0","","","","","","","","","","","","370","0","70","","40","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013866",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1441 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","31.6","32.2","","","WR [17954] ","0","0","","0.11","","0","3.33","","30.4","18","0.35","","0","0.4","1.83","","0.08","0.05","","46.5","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","15","","0","7","","","5","0","6","26","","","","","","0","3000","25","0","0","0","","","","","","","","","","","","80","0","80","","40","","","","","","","","","0","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013867",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1431 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","104.5","104.75","","","WR [17954] ","12.1","0.55","","0.78","","7.51","8.99","","30","10.7","0.34","","0.11","0.68","2.73","","0.73","0.12","","23.5","","","","","","","","","","0.07","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","10","","200","8","","","30","0","7","150","","","","","","0","3000","70","1500","30","0","","","","","","","","","","","","170","0","200","","100","","","","","","","","","3","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013868",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1432 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE- TO MEDIUM-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","110.9","111.6","","","WR [17954] ","19.1","1.89","","0.74","","24.2","17.6","","9.05","15.8","0.57","","0.56","1.05","0.15","","1.65","0.35","","8.07","","","","","","","","","","0.18","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","6","","600","7","","","56","0","6","340","","","","","","20","600","20","1500","70","4","","","","","","","","","","","","110","0","90","","30","","","","","","","","","4","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013869",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1434 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","406.3","406.9","","","WR [17954] ","12","2.23","","1.1","","24.1","15.1","","16.7","11.4","0.45","","0.37","0.22","1.01","","1.03","0.35","","4.12","","","","","","","","","","0.15","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","9","","700","13","","","44","0","8","300","","","","","","20","900","45","300","60","4","","","","","","","","","","","","80","0","180","","110","","","","","","","","","5","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013870",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1435 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE- TO MEDIUM-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","477.35","478","","","WR [17954] ","15.6","2.42","","0.84","","29.4","18.1","","10.1","12","0.45","","0.41","1.06","2.27","","0.82","0.17","","6.93","","","","","","","","","","0.13","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","10","","1000","14","","","54","0","7","420","","","","","","10","600","25","900","60","3","","","","","","","","","","","","80","0","90","","50","","","","","","","","","6","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013871",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1436 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE- TO MEDIUM-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","503.7","504.3","","","WR [17954] ","18.2","2.75","","0.9","","31.6","16.6","","10.6","8.3","0.35","","0.7","1.92","0.14","","0.35","0.1","","8.07","","","","","","","","","","8.35","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","20","","900","12","","","51","0","16","360","","","","","","0","700","20","800","60","3","","","","","","","","","","","","120","0","50","","30","","","","","","","","","5","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013872",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1438 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","673.15","673.7","","","WR [17954] ","33","0.3","","3.68","","2.27","6.32","","19.6","11.7","0.2","","2.82","2.62","3.37","","0.62","0.26","","12.4","","","","","","","","","","0.02","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","25","","50","26","","","16","0","6","110","","","","","","80","1500","45","1000","70","0","","","","","","","","","","","","390","0","140","","80","","","","","","","","","2","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013873",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1440 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE- TO MEDIUM-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","800","800.6","","","WR [17954] ","15.6","0.58","","0.86","","7.1","8.82","","27","13.1","0.34","","0.8","0.44","3.88","","1.1","0.12","","20.3","","","","","","","","","","0.36","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","2","","150","14","","","42","7","38","150","","","","","","30","2500","60","100","0","0","","","","","","","","","","","","170","0","180","","90","","","","","","","","","3","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013874",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1443 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","135.6","136.4","","","WR [17954] ","29.4","0.49","","7.27","","1.14","5.91","","15.9","14.7","0.16","","6.54","0.92","1.98","","0.42","0.16","","13.6","","","","","","","","","","0.07","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","9","","50","216","","","24","52","26","108","","","","","","100","1500","45","200","100","0","","","","","","","","","","","","660","0","90","","50","","","","","","","","","1","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013875",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1444 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","145.5","146.1","","","WR [17954] ","37.9","0.39","","6.71","","2.87","5.49","","10.9","16.2","0.18","","5.88","2.72","2.24","","0.84","0.12","","7.02","","","","","","","","","","0.03","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","20","","50","54","","","18","8","5","140","","","","","","130","700","25","300","200","0","","","","","","","","","","","","490","0","90","","50","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013876",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1449 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","30.1","30.7","","","WR [17954] ","32.2","0.2","","3.68","","2.76","4.41","","19","12.4","0.22","","3.72","3.29","3.03","","0.14","0.33","","14.3","","","","","","","","","","0.03","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","30","","45","46","","","11","5","5","92","","","","","","100","2500","50","500","100","0","","","","","","","","","","","","380","0","130","","70","","","","","","","","","2","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013877",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1452 [17954]","CARBONATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLU","554.2","555","","","WR [17954] ","26.1","1.12","","2.1","","9.59","5.32","","16.1","16.7","0.32","","2.11","1.57","1.07","","1.69","0.4","","14.8","","","","","","","","","","0.22","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","25","","100","1120","","","78","600","74","160","","","","","","60","1000","40","100","50","0","","","","","","","","","","","","440","0","120","","60","","","","","","","","","2","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013878",
