"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20210]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS","DAWSON STRAIT, DOBU ISLAND","-9.77","-9.77","150.88","150.88","SAE","","","s_718 [20210]","COMENDITIC RHYOLITE [20210]","","","","","","","","","VOL","","","","","WR [20210] ","70.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107.3","2.021","","","","","","","","","","","","","","","","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7104","","","","","","","","","","","","","","","","","","","","","1026541",
"[20210]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS","DAWSON STRAIT, DOBU ISLAND","-9.77","-9.77","150.88","150.88","SAE","","","s_725 [20210]","COMENDITIC RHYOLITE [20210]","","","","","","","","","VOL","","","","","WR [20210] ","69.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.2","3.084","","","","","","","","","","","","","","","","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7042","","","","","","","","","","","","","","","","","","","","","1026542",
"[20210]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS","DAWSON STRAIT, DOBU ISLAND","-9.77","-9.77","150.88","150.88","SAE","","","s_728 [20210]","COMENDITIC RHYOLITE [20210]","","","","","","","","","VOL","","","","","WR [20210] ","70.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.5","3.25","","","","","","","","","","","","","","","","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70513","","","","","","","","","","","","","","","","","","","","","1026543",
"[20416]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREAN PENINSULA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / CHANGBAISHAN (BAEKDUSAN/PAEKTSUAN) VOLCANIC FIELD","MILLENIUM ERUPTION, TEPHRA FALL DEPOSIT","42","42","128","128","SAE","","","s_51 [20416]","COMENDITIC RHYOLITE [20416]","","","","HOLOCENE [20416]","","","","","VOL","","","","","WR [20416] ","73.63","0.24","","11.53","","","","3.94","0.3","0.03","0.08","","4.75","5.49","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","338","7","123.1","1976","232.5","","","","","","","","","","","","5.2","14","164.5","321.1","35.8","127.5","28","0.4","24.9","4","25","4.8","12.4","1.7","10.3","1.5","48","15","","","","","","","","","37","","46.8","9","0.512581","","","0.705355","","17.532","","15.517","","37.847","","","","","","","","","","","","","","","1061315",
"[20416]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREAN PENINSULA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / CHANGBAISHAN (BAEKDUSAN/PAEKTSUAN) VOLCANIC FIELD","MILLENIUM ERUPTION, TEPHRA FALL DEPOSIT","42","42","128","128","SAE","","","s_51 [20416]","COMENDITIC RHYOLITE [20416]","","","","HOLOCENE [20416]","","","","","VOL","","","","","WR [20416] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512575","","","0.70521","","17.533","","15.518","","37.85","","","","","","","","","","","","","","","1061345",
"[20416]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREAN PENINSULA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / CHANGBAISHAN (BAEKDUSAN/PAEKTSUAN) VOLCANIC FIELD","MILLENIUM ERUPTION, TEPHRA FALL DEPOSIT","42","42","128","128","SAE","","","s_51 [20416]","COMENDITIC RHYOLITE [20416]","","","","HOLOCENE [20416]","","","","","VOL","","","","","WR [20416] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512573","","","0.705268","","","","","","","","","","","","","","","","","","","","","1061346",
"[20416]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREAN PENINSULA - CENOZOIC/QUATERNARY / KOREAN PENINSULA / CHANGBAISHAN (BAEKDUSAN/PAEKTSUAN) VOLCANIC FIELD","MILLENIUM ERUPTION, TEPHRA FALL DEPOSIT","42","42","128","128","SAE","","","s_51 [20416]","COMENDITIC RHYOLITE [20416]","","","","HOLOCENE [20416]","","","","","VOL","","","","","WR [20416] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512567","","","0.70523","","17.532","","15.516","","37.846","","","","","","","","","","","","","","","1061347",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / TAMAULIPAS / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, TAMAULIPAS, CIUDAD VICTORIA, JUAN CAPITAN","23.8","23.8","-99.2","-99.2","SAE","","","s_SF02 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","79.53","0.05","","10.06","","","","0.48","1","0.5","0.002","","1.01","3.74","0","","","","","0.7","","","","","","","","","","","2.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","8","","","","","35","348","9","83","9.3","","","","","","","","","","","","1.6","216","14.2","31.5","3.54","13.4","26.4","0.096","1.66","0.29","1.83","0.38","1.13","0.169","1.13","0.179","3.2","1.06","","","","","","","","","6","","14.5","2.95","","","","","","","","","","","","","","","","","","","","","","","","","1069474",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / TAMAULIPAS / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, TAMAULIPAS, CIUDAD VICTORIA, JUAN CAPITAN","23.8","23.8","-99.2","-99.2","SAE","","","s_SF13 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","72.21","0.29","","14.38","","","","1.44","0.55","0.52","0.006","","1.96","5.42","0.07","","","","","0.2","","","","","","","","","","","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","17","","","","","","","","13","","","","","63","184","21.8","258","12.3","","","","","","","","","","","","1.2","439","19.8","45.8","5.07","20.9","3.96","0.496","3.32","0.58","3.85","0.82","2.5","0.383","2.66","0.422","5.8","1.05","","","","","","","","","6","","8.5","3.16","","","","","","","","","","","","","","","","","","","","","","","","","1069485",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / TAMAULIPAS / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, TAMAULIPAS, CIUDAD VICTORIA, JUAN CAPITAN","23.8","23.8","-99.2","-99.2","SAE","","","s_SF14 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","73.87","0.04","","11.29","","","","2.02","2.11","0.91","0.031","","3.79","1.45","0.13","","","","","1.28","","","","","","","","","","","4.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","34","","","","2","","","","13","","","","","125","158","26.6","212","11.4","","","","","","","","","","","","4.3","886","12.9","42.8","5.08","21.7","5.18","0.933","4.8","0.82","5.04","1.01","2.97","0.455","3.17","0.526","6","0.87","","","","","","","","","16","","6.54","2.24","","","","","","","","","","","","","","","","","","","","","","","","","1069486",
