"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4686]","OCEAN ISLAND","MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE / OCEANITE SERIES","","-21.24","-21.24","55.73","55.73","SAE","","","s_RF94-01 [4686]","DUNITE, XENOLITH [4686]","","","","","","","","","PER","","","","","WR [4686] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.34","","","","","100452",
"[4720]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU/TAKASHIMA ISLET","NORTHERN KYUSHU, BAY OF KARATSU, TAKASHIMA ISLET, SAGA PREFECTURE","33.2","33.6","129.5","130","SAE","","","s_AOYAMAINCL. [4720]","DUNITE, XENOLITH [4720]","","","","","","","","","PER","","","","","WR [4720] ","40.76","","","","","1.28","7.03","","0.12","50.11","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100548",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX19 [17969]","DUNITE, XENOLITH [17969]","","","","","","","","PORPHYROCLASTIC [17969] ","PER","","","","","WR [17969] ","42.87","0.03","","0.97","","","","7.59","0.96","44.99","0.11","","0.03","0.01","","","","","","","","","","","","","","","","","1.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8","","35.6","2737","","","","2202","4.7","25.7","","","","","","1.4","3.2","0.58","2.53","0.71","","","","","","","","","","","","","9.4","0.31","0.68","0.081","0.33","0.077","0.029","0.095","0.016","0.099","0.021","0.057","0.009","0.063","0.01","0.03","0.04","","","","","","","","","0.9","","0.07","0.04","","","","","","","","","","","","","","","","","","","","","","","","","1013613",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0223 [20065]","DUNITE, XENOLITH [20065]","","","","","","","","COARSE-GRANULAR WITH OL UP TO 1–10 MM, OPX–PHL–GLASS PATCHES WITH OPX AND PHL 0.05–4 MM IN SIZE [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000265","0.0016038","","","","","","","","","","","","","","","","","","","","","","","","0.1055","","0.0795","","","","","","","","1016612",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0259 [20065]","DUNITE, XENOLITH [20065]","","","","","","","","PORPHYROCLASTIC WITH OL-PC 1–13 MM AND 66 VOL % RECRYSTALLIZED OL-NB 0.05–1 MM, PHL AND OXIDE ARE 0.002–1.5 MM IN SIZE [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000157","0.0006294","","","","","","","","","","","","","","","","","","","","","","","","0.1183","","0.12001","","","","","","","","1016613",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0273 [20065]","DUNITE, XENOLITH [20065]","","","","","","","","COARSE-GRANULAR WITH OL 0.5–9 MM, PHL–OPX–GLASS PATCHES WITH OPX 0.6–5 MM AND PHL 0.05–1 MM [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0002227","0.0047476","","","","","","","","","","","","","","","","","","","","","","","","0.1106","","0.22553","","","","","","","","1016614",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0274 [20065]","DUNITE, XENOLITH [20065]","","","","","","","","COARSE-GRANULAR WITH OL 1–1.1 MM, PHL–OPX–GLASS PATCHES WITH OPX 1–8 MM, PHL 0.1–2 MM [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0002223","0.0050795","","","","","","","","","","","","","","","","","","","","","","","","0.1106","","0.21047","","","","","","","","1016615",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0297 [20065]","DUNITE, XENOLITH [20065]","","","","","","","","COARSE-GRANULAR WITH OL 0.2–17 MM AND ILM 2–6.5 MM [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000014","0.0000028","","","","","","","","","","","","","","","","","","","","","","","","0.1753","","25.18266","","","","","","","","1016616",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ02100 [20065]","DUNITE, XENOLITH [20065]","","","","","","","","COARSE-GRANULAR WITH OL 0.3–38 MM [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000722","0.0001868","","","","","","","","","","","","","","","","","","","","","","","","0.1366","","1.86652","","","","","","","","1016617",
"[915]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA / SAN ANTONIO","","28.53","28.53","-17.8","-17.8","SAE","","","s_PAT2-42 [915]","DUNITE, SPINEL, XENOLITH [915]","","","","","","","","","PER","","","","","WR [915] ","40.22","0.02","","0.5","","","","9.7","0.34","47.69","0.16","","0.05","0.81","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2180","","","41","","","415","","5.6","90","25","4460","","","155","2460","6","64","","","0","","","0.44","7","2","","0.5","","","","","","","","","0","","","0.02","5.5","0.26","0.2","","1.3","0.02","0.09","","0.003","","","","","0.022","","0.02","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","10201",
"[20164]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_AJE410 [20164]","DUNITE, XENOLITH [20164]","","","","","","","","","PER","","","","","WR [20164] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000172","0.0001241","","","","","","","","","","","","","","","","","","","","","","","","0.1479","","0.6718","","","","","","","","1025254",
"[20164]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0267 [20164]","DUNITE, XENOLITH [20164]","","","","","","","","","PER","","","","","WR [20164] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0001684","0.0009133","","","","","","","","","","","","","","","","","","","","","","","","0.1259","","0.8889","","","","","","","","1025255",
"[20164]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0268 [20164]","DUNITE, XENOLITH [20164]","","","","","","","","","PER","","","","","WR [20164] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0001042","0.000064","","","","","","","","","","","","","","","","","","","","","","","","0.1337","","7.8375","","","","","","","","1025256",
"[20164]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0269 [20164]","DUNITE, XENOLITH [20164]","","","","","","","","","PER","","","","","WR [20164] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0002224","0.0000445","","","","","","","","","","","","","","","","","","","","","","","","0.1516","","24.1074","","","","","","","","1025257",
