"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20286]","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","SAE","","","s_B 64 [20286]","FOIDITE, COMBEITE [20286]","","","","","","","","","VOL","","","","","WR [20286] ","46.52","0.56","","17.13","","","","4.98","7.62","0.65","0.3","","0.96","11.73","0.26","","","","","1.93","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","0.57","","7.6","2.9","","","1.09","0","0.34","9.67","","","","","","1.02","1080.42","22.45","83.4","2.77","0.16","","","","","","","","","","","0","23.07","34.3","88.31","12.31","54.05","10.03","2.92","8.41","0.99","5.09","0.81","2.14","0.25","1.46","0.18","0.94","0.74","0.18","","","","","","","","0.57","","2.06","2.05","","","","","","","","","","","","","","","","","","","","","","","","","1043043",
"[13333]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / FRANCE / FRENCH MASSIF CENTRAL / MONTS DORE","SANADOIRE","45.58","45.58","3.17","3.17","SAE","","","s_L5 [13333]","FOIDITE [13333]","","","","CENOZOIC [13333]","","","","","VOL","","","","","WR [13333] ","39.15","3.3","","14.6","","9.15","6.45","","14.4","5.3","0.7","","0.9","2.4","1.75","","","","","","","","","","","","","","","","2.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067950",
"[21146]","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / SARNU-DANDALI COMPLEX","","25.6642","25.6642","71.7886","71.7886","SAE","","","s_SD11 [21146]","FOIDITE [21146]","","","","CRETACEOUS [21146]","","","","","VOL","","","","","WR [21146] ","34.99","5.09","","10.44","","","","15.16","13.59","9.92","0.17","","2.09","2.64","0.73","","","","","","","","","","","","","","","","2.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8","","","","","","74","108","","","","","","","","","930","","282","","","","","","","","","","","","","","835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1183151",
"[21146]","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / SARNU-DANDALI COMPLEX","","25.6797","25.6797","71.915","71.915","SAE","","","s_SD14 [21146]","FOIDITE [21146]","","","","CRETACEOUS [21146]","","","","","VOL","","","","","WR [21146] ","43.24","1.76","","18.79","","","","7.95","6.67","1.66","0.29","","4.47","10.13","0.41","","","","","","","","","","","","","","","","1.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.54","","","","","","18.7","4.55","","","","","","","","","2252","","426","","","","","","","","","","","","","","1203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1183154",
"[21146]","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / SARNU-DANDALI COMPLEX","","25.6803","25.6803","71.9144","71.9144","SAE","","","s_SD18 [21146]","FOIDITE [21146]","","","","CRETACEOUS [21146]","","","","","VOL","","","","","WR [21146] ","42.18","1.13","","17.74","","","","7.51","6.87","1.2","0.37","","4.38","9.28","0.22","","","","","","","","","","","","","","","","8.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","13.2","1.44","","","","","","","","","2785","","513","","","","","","","","","","","","","","1721","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1183157",
"[21557]","SEAMOUNT","SOUTHERN AZORES SEAMOUNT CHAIN / GREAT METEOR","","30.144","30.144","-28.637","-28.637","SAQ","-972","-972","s_D13-007 [21557]","FOIDITE [21557]","","","","OLIGOCENE [21557]","","","","","VOL","","","","","WR [21557] ","33.12","7.65","","10.53","","0","17.35","","14.49","12.01","0.19","","0.48","0.94","1.31","","","","","","","","","","","","","","","","4.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.33","","517.79","382.77","","","64.28","164.99","30.1","120.69","17.77","","","","","9.85","758.52","23.35","272.53","65.55","","","","","","","","2.49","","","","0.18","146.5","28.59","72.88","10.19","49.34","11.03","3.66","9.72","1.24","6.47","1.04","2.47","0.28","1.67","0.22","7.34","4.12","","","","","","","","","1.5","","3.69","1.6","","","","","","","","","","","","","","","","","","","","","","","","","1247402",
"[21705]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KYRGYZSTAN - MESOZOIC / SOUTHERN TIEN SHAN / ZARDALEK ALKALINE COMPLEX","","40","40","71","71","SAE","","","s_8 [21705]","FOIDITE [21705]","","","","TRIASSIC [21705]","","","","","VOL","","","","","WR [21705] ","42.47","0.4","","28.94","","","","3.52","3.39","0.89","0.12","","7.51","8.5","0.16","","","","","","","","","","","","","","","","3.33","","","","","","","","","","","","","","122","","12","","","","","","","","","","","","1.1","","40","5.2","","","6","3.1","6.4","86","18","","","","","339","1011","15","110","12","","","","","","","","","","","","27","1190","41","77","9","34","5.5","1.4","3.8","0.53","2.8","0.52","1.4","0.22","1.4","0.2","1.6","0.83","","","","","","","","","51","","19","10","","","","","","","","","","","","","","","","","","","","","","","","","1272320",
"[21705]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KYRGYZSTAN - MESOZOIC / SOUTHERN TIEN SHAN / ZARDALEK ALKALINE COMPLEX","","40","40","71","71","SAE","","","s_9 [21705]","FOIDITE [21705]","","","","TRIASSIC [21705]","","","","","VOL","","","","","WR [21705] ","46.94","0.29","","26.34","","","","2","2.62","0.56","0.08","","7.28","11.66","0.04","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","69","","26","","","","","","","","","","","","0.9","","13","4.8","","","3","2.9","5.2","58","21","","","","","215","1907","3.7","89","19","","","","","","","","","","","","9","3645","66","112","8.9","33.1","2.15","1","1.3","0.18","0.78","0.12","0.34","0.06","0.35","0.05","1.6","1.1","","","","","","","","","73","","41","20","0.512239","","","0.70824","","","","","","","","","","","","","","","","","","","","","1272321",
"[14732]","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA / POST-ROQUE NUBLO FORMATION / SHIELD STAGE","PIQUILLO RAVINE, 50 M E OF LOCAL ROAD CI-13-8","28.0409","28.0409","-15.5036","-15.5036","SAE","455","455","s_GCR-37 [14732]","FOIDITE [14732]","","","","NEOGENE [14732]","","","","","VOL","","","","","WR [14732] ","39.34","4.07700858578221","","9.63377057848126","","","","12.88","13.7668228454125","11.5419108060739","0.204884425593357","","1.51640721583724","3.66702520748925","1.47180545795629","","","","","","","","","","","","","","","","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.1081081081081","","","431.407269338304","","","116.9199815","331.780055917987","79.7458965","150.885368126747","","","","","","32.6556383970177","1285.1817334576","32.881174277726","391.9","95.3","","","","","","","","","","","","","725.815470643057","106.866728797763","218.790773532153","25.618825722274","102.097390493942","17.8748835041938","5.34855545200373","16.5349487418453","2.04333643988816","8.76630941286114","1.36300093196645","3.36136999068033","0.370922646784716","2.24301025163094","0.297297297297297","2.91309412861137","1.54659832246039","","","","","","","","","4.32665424044734","","12.2273998136067","2.25675675675676","0.512939","","","0.703122","","19.38","","15.571","","39.235","","","","","","","","","","","","","","","132477",
"[14732]","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / POST-ROQUE NUBLO FORMATION","LAVA ON TOP OF HOYA DEL GAMONAL SEQUENCE, 300 M W OF CRUZ DEL SAUCILLO DOME","27.9716","27.9716","-15.5547","-15.5547","SAE","1730","1730","s_GCRN-4 [14732]","BASANITE [14732]","","","","NEOGENE [14732]","","","","","VOL","","","","","WR [14732] ","41.7663605495813","3.6065381502243","","9.35080353807079","","","","12.61","13.1393495501006","12.9607049109052","0.201503953608723","","1.42940501848184","3.67359379213959","1.35585958422398","","","","","","","","","","","","","","","","-0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.5037735849057","","","445.207547169811","","","153.5522625","300.150943396226","112.01285","153.811320754717","","","","","","32.2871698113208","1552.45283018868","32.9543396226415","1055.2","196.8","","","","","","","","","","","","","761.509433962264","103.538490566038","203.924528301887","24.5294339622642","97.5494339622641","17.3835849056604","5.11018867924528","15.6545283018868","1.91358490566038","8.31962264150943","1.30867924528302","3.14547169811321","0.341509433962264","2.08981132075472","0.279622641509434","1.14292452830189","0.984150943396226","","","","","","","","","6.22188679245283","","11.988679245283","2.32792452830189","0.512919","","","0.70313","","19.486","","15.584","","39.391","","","","","","","","","","","","","","","132478",
