"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[9909][6406]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / AVACHA (AVACHINSKY)","EASTERN VOLCANIC FRONT","53.256","53.256","158.836","158.836","SAE","","","s_AVX-35 [9909] / s_AVX35 [6406]","PERIDOTITE, XENOLITH [9909] / HARZBURGITE, SPINEL, XENOLITH [6406]","","","","","","","","","PER","","","","","WR [9909] ","42.36","","","0.53","","","","7.91","0.51","47.17","0.12","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.35","65.2","55.4","","","","","2596","","","","","","","","","0.853","0.075","0.071","","","0.002","0.001","0.002","","","","","","","","","0.613","","0.029","0.005","0.022","","","0.01","0.002","0.013","0.003","0.013","0.003","0.023","0.005","","","","","0.003","0.0005","0.017","0.0061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100216",
"[19796]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / EIFEL / MEERFELDER MAAR","","50.1","50.1","6.75","6.75","SAE","","","s_MM-1 [19796]","HARZBURGITE, XENOLITH [19796]","","","","","","","","","PER","","","","","WR [19796] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011701",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX6 [17969]","HARZBURGITE, XENOLITH [17969]","","","","","","","","PROTOGRANULAR-EQUIGRANULAR [17969] ","PER","","","","","WR [17969] ","43.82","0.03","","1.16","","","","7.97","0.94","44.51","0.12","","0.03","0.08","","","","","","","","","","","","","","","","","0.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3","","19.7","3867","","","","2136","16.3","64.4","","","","","","2.81","31.78","1.13","4.61","1.74","","0.006754","0.001164","0.004557","","","","","","","","","8.04","0.169","0.457","0.067","0.319","0.098","0.038","0.136","0.024","0.172","0.034","0.101","0.017","0.114","0.017","0.11","0.09","","0.000038","0.003701","0.003698","0.005858","","","","21.75","","0.11","0.12","","","","","","","","","","","","","","","0.11801","","0.0494","","","","","","","","1013602",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX11 [17969]","HARZBURGITE, XENOLITH [17969]","","","","","","","","PROTOGRANULAR-EQUIGRANULAR [17969] ","PER","","","","","WR [17969] ","44.24","0.03","","1.85","","","","8.4","1.66","41.13","0.13","","0.02","0.07","","","","","","","","","","","","","","","","","1.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1","","48.9","3083","","","","2167","10.2","56.7","","","","","","1.6","23.35","1.18","3.66","0.41","","0.006025","0.001364","0.008084","","","","","","","","","3.58","0.215","0.575","0.079","0.385","0.109","0.04","0.144","0.027","0.19","0.044","0.131","0.021","0.143","0.022","0.1","0.05","","0.00012","0.004263","0.003531","0.008126","","","","21.65","","0.04","0.1","","","","","","","","","","","","","","","0.1196","","0.136","","","","","","","","1013603",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX7 [17969]","HARZBURGITE, XENOLITH [17969]","","","","","","","","PROTOGRANULAR-EQUIGRANULAR [17969] ","PER","","","","","WR [17969] ","42.78","0.08","","1.38","","","","9.25","1.57","41.96","0.15","","0.1","0.27","","","","","","","","","","","","","","","","","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5","","42.4","2098","","","","2128","12.5","54.8","","","","","","2.06","36.98","1.28","7.31","2.24","","0.006286","0.001126","0.014458","","","","","","","","","7.69","0.177","0.453","0.076","0.385","0.107","0.04","0.145","0.029","0.186","0.038","0.11","0.018","0.113","0.018","0.14","0.14","","0.000091","0.00301","0.00326","0.019716","","","","8.37","","0.15","0.14","","","","","","","","","","","","","","","0.12149","","0.146","","","","","","","","1013604",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX14 [17969]","HARZBURGITE, XENOLITH [17969]","","","","","","","","PROTOGRANULAR-EQUIGRANULAR [17969] ","PER","","","","","WR [17969] ","45.41","0.04","","2.41","","","","6.84","2.33","40.95","0.11","","0.05","0.14","","","","","","","","","","","","","","","","","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7","","57.4","3158","","","","1360","11.6","27.9","","","","","","2.15","7.85","1.69","3.75","0.45","","0.005969","0.001142","0.004854","","","","","","","","","8.15","0.145","0.49","0.096","0.559","0.185","0.081","0.294","0.055","0.362","0.084","0.253","0.036","0.235","0.041","0.1","0.03","","0.000154","0.00344","0.002774","0.006321","","","","0.43","","0.05","0.05","","","","","","","","","","","","","","","0.12016","","0.2169","","","","","","","","1013610",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX15  [17969]","HARZBURGITE, XENOLITH [17969]","","","","","","","","PORPHYROCLASTIC [17969] ","PER","","","","","WR [17969] ","42.44","0.03","","1.09","","","","6.85","1.21","45.04","0.12","","0.07","0.01","","","","","","","","","","","","","","","","","1.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","","16.4","1540","","","","2519","5.2","33.3","","","","","","0.95","9.26","1.08","1.9","0.91","","0.006707","0.001154","0.004983","","","","","","","","","10.83","0.156","0.433","0.06","0.272","0.09","0.034","0.124","0.021","0.134","0.033","0.088","0.013","0.088","0.013","0.06","0.04","","0.000038","0.003674","0.003671","0.005907","","","","0.84","","0.05","0.03","","","","","","","","","","","","","","","0.11918","","0.0503","","","","","","","","1013611",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX24 [17969]","HARZBURGITE, XENOLITH [17969]","","","","","","","","PORPHYROCLASTIC [17969] ","PER","","","","","WR [17969] ","44.21","0.03","","1.13","","","","7.47","1.1","43.86","0.11","","0.03","0.04","","","","","","","","","","","","","","","","","1.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4","","32.9","2094","","","","2217","5.3","29.2","","","","","","1.9","6.7","0.7","2.5","1.01","","","","","","","","","","","","","12.4","0.13","0.37","0.05","0.26","0.08","0.033","0.102","0.019","0.114","0.024","0.064","0.01","0.068","0.01","0.06","0.05","","","","","","","","","1.1","","0.09","0.05","","","","","","","","","","","","","","","","","","","","","","","","","1013612",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX36 [17969]","HARZBURGITE, XENOLITH [17969]","","","","","","","","PORPHYROCLASTIC [17969] ","PER","","","","","WR [17969] ","43.03","0.05","","1.31","","","","8.87","1.16","43.81","0.13","","0.04","0.04","","","","","","","","","","","","","","","","","1.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4","","34.3","1526","","","","2320","13.5","41.9","","","","","","1.5","18.2","1.23","3.1","1.42","","","","","","","","","","","","","12.2","0.631","1.314","0.16","0.66","0.163","0.053","0.159","0.025","0.14","0.032","0.082","0.013","0.091","0.015","0.08","0.03","","","","","","","","","1.2","","0.06","0.03","","","","","","","","","","","","","","","","","","","","","","","","","1013614",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX23 [17969]","HARZBURGITE, XENOLITH [17969]","","","","","","","","PORPHYROCLASTIC [17969] ","PER","","","","","WR [17969] ","43.14","0.03","","1.03","","","","7.66","0.92","44.06","0.1","","0.03","0.02","","","","","","","","","","","","","","","","","1.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","","33.6","3134","","","","2354","16.1","26.5","","","","","","1.7","4.2","0.48","1.71","0.67","","","","","","","","","","","","","8.4","0.322","0.677","0.074","0.273","0.062","0.021","0.063","0.011","0.069","0.015","0.042","0.007","0.046","0.008","0.03","0.05","","","","","","","","","0.5","","0.07","0.05","","","","","","","","","","","","","","","","","","","","","","","","","1013615",
