"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17983]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / ELLENDALE LAMPROITE","WEST KIMBERLEY REGION","-18.4","-18.4","123.8","123.8","SAE","","","s_6/PK1/B [17983]","LAMPROITE [17983]","","","","","","","","","VOL","","","","","WR [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.2","","","","","","69.3","","","","","","","","","614","1346","","","","","","","","","","","","","","","3.84","","290","601","","191","22.1","4.55","","69.1","","","","","1.66","","24","15.9","","","","","","","","","47.7","","69.1","10.3","0.51198","","","0.71134","","17.573","","15.753","","38.425","","","","","","","","","","","","","","","1019899",
"[17983]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / MOUNT NORTH LAMPROITE","WEST KIMBERLEY REGION","-18.4","-18.44","123.8","123.8","SAE","","","s_6/PK3/3 [17983]","LAMPROITE [17983]","","","","","","","","","VOL","","","","","WR [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4","","","","","","38.6","","","","","","","","","460","2004","","","","","","","","","","","","","","","1.1","14100","425","825","","276","29.3","7","","1.91","","","","","1.78","0.2","44.2","13.3","","","","","","","","","39.7","","55.5","6.3","0.51197","","","0.71471","","17.384","","15.714","","38.314","","","","","","","","","","","","","","","1019900",
"[17983]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / MOUNT ROSE LAMPROITE","WEST KIMBERLEY REGION","-18.4","-18.4","123.8","123.8","SAE","","","s_6/PK7/1 [17983]","LAMPROITE [17983]","","","","","","","","","VOL","","","","","WR [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2","","","","","","29.9","","","","","","","","","260","1058","","","","","","","","","","","","","","","","9200","213","340","","121","14.6","3.46","","0.91","","","","","1.14","0.15","31.1","5.54","","","","","","","","","","","15.8","1.8","0.51181","","","0.72039","","","","","","","","","","","","","","","","","","","","","1019901",
"[17983]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / SELTRUST PIPE 1","WEST KIMBERLEY REGION","-18.4","-18.4","123.8","123.8","SAE","","","s_6/PK11/1 [17983]","LAMPROITE [17983]","","","","","","","","","VOL","","","","","WR [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3","","","","","","31.2","","","","","","","","","551","1479","","","","","","","","","","","","","","","1.79","8000","323","602","","209","24.7","5.7","","1.58","","","","","1.31","","35.1","7.92","","","","","","","","","","","37.3","5.2","0.51187","","","0.71807","","","","","","","","","","","","","","","","","","","","","1019902",
"[17983]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / SELTRUST PIPE 2","WEST KIMBERLEY REGION","-18.4","-18.4","123.8","123.8","SAE","","","s_6/PK12/2 [17983]","LAMPROITE [17983]","","","","","","","","","VOL","","","","","WR [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9","","","","","","35.7","","","","","","","","","362","1837","","","","","","","","","","","","","","","","4600","402","727","","243","29.1","6.96","","1.78","","","","","1.66","0.25","37.7","10.4","","","","","","","","","","","47.4","9.3","0.51167","","","0.71811","","","","","","","","","","","","","","","","","","","","","1019903",
"[17983]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / SELTRUST PIPE 3","WEST KIMBERLEY REGION","-18.4","-18.4","123.8","123.8","SAE","","","s_6/PK13/2 [17983]","LAMPROITE [17983]","","","","","","","","","VOL","","","","","WR [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","39.5","","","","","","","","","272","983","","","","","","","","","","","","","","","","7900","182","338","","118","13.8","3.27","","0.84","","","","","1.07","","35.8","6.67","","","","","","","","","","","17.6","2.2","0.51167","","","0.71878","","","","","","","","","","","","","","","","","","","","","1019904",
"[17983]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / WOLGIDEE HILLS LAMPROITE","WEST KIMBERLEY REGION","-18.4","-18.4","123.8","123.8","SAE","","","s_7/PK3/8 [17983]","LAMPROITE [17983]","","","","","","","","","VOL","","","","","WR [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6","","","","","","33.7","","","","","","","","","439","1590","","","","","","","","","","","","","","","1.54","9200","160","239","","73.5","10.6","2.91","","0.95","","","","","1.33","","64.2","6.24","","","","","","","","","","","23.2","5.1","0.51211","","","0.71251","","","","","","","","","","","","","","","","","","","","","1019905",
"[17983]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / WOLGIDEE HILLS LAMPROITE","WEST KIMBERLEY REGION","-18.4","-18.4","123.8","123.8","SAE","","","s_7/PK3/9 [17983]","LAMPROITE [17983]","","","","","","","","","VOL","","","","","WR [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7","","","","","","26.2","","","","","","","","","396","2349","","","","","","","","","","","","","","","2.1","18100","110","171","","53.3","7.61","2.1","","0.7","","","","","1.32","0.16","44.4","5","","","","","","","","","","","15.7","4.7","0.51209","","","0.71258","","","","","","","","","","","","","","","","","","","","","1019906",
"[17983]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / NOONKANBAH LAMPROITE","WEST KIMBERLEY REGION","-18.4","-18.4","123.8","123.8","SAE","","","s_7/PK5/6 [17983]","LAMPROITE [17983]","","","","","","","","","VOL","","","","","WR [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7","","","","","","28.5","","","","","","","","","300","840","","","","","","","","","","","","","","","0.46","6010","322","526","","192","23","5.64","","1.64","","","","","1.6","0.19","29.1","6.41","","","","","","","","","48","","23.9","2.2","0.51182","","","0.72093","","17.228","","15.76","","37.87","","","","","","","","","","","","","","","1019907",
"[17983]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / MACHELLS PYRAMID LAMPROITE","WEST KIMBERLEY REGION","-18.4","-18.4","123.8","123.8","SAE","","","s_7/PK8/2 [17983]","LAMPROITE [17983]","","","","","","","","","VOL","","","","","WR [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.9","","","","","","33.2","","","","","","","","","195","1011","","","","","","","","","","","","","","","","6910","254","376","","133","16.5","4.02","","1.3","","","","","1.89","0.21","33","9","","","","","","","","","48.4","","22.3","1.9","0.51204","","","0.715","","17.575","","15.737","","38.185","","","","","","","","","","","","","","","1019908",
