"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17923]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / POLAND / SUDETES / INTRASUDETIC BASIN AND BARDO UNIT","","50","50","17","17","SAE","","","s_382 [17923]","LAMPROPHYRE, MICA [17923]","","","","PALEOZOIC [17923]","","","","","PLU","","","","","WR [17923] ","43.53","1.82","","14.72","","","","9.08","7.07","5.42","0.12","","2.52","2.04","0.56","","","","","","","","","","","","","","","","11.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","187","171","","","","122.2","","","","","","","","98.1","492.6","24.5","210.9","42.3","","","","","","","","","","","","13.1","658.4","44.6","95.7","11.03","43.6","7.6","2.27","5.45","0.83","4.41","0.86","2.14","0.32","1.92","0.29","5.4","2.5","","","","","","","","","2.6","","5.9","1.2","0.512486","","","0.70708","","","","","","","","","","","","","","","","","","","","","1013646",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SAE","","","s_1447 [17954]","LAMPROPHYRE, OLIVINE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, INEQUIGRANULAR, PORPHYRITIC, SERIATE [17954] ","PLU","521.4","522","","","WR [17954] ","34.3","3.65","","6.33","","3.9","9.73","","12.5","13","0.28","","3.63","1.55","0.64","","0.73","0.27","","7.97","","","","","","","","","","0.26","","","","","","","","","","","","","","","24","19","","","","","","","","","","","","","20","","400","700","","","59","420","148","116","120","","","","","230","800","30","200","80","0","","","","1","","","31","","","","","610","0","100","","60","","","","","","","","","1","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013854",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON / SCOTLAND / NORTHERN HIGHLAND","RINIBAR","58.77","58.77","-2.97","-2.97","SAE","","","s_R2DYKE [20039]","LAMPROPHYRE [20039]","","","","PROTEROZOIC [20039]","","","","","PLU","","","","","WR [20039] ","38.51","1.91","","9.56","","","","9.3","8.48","20.36","0.22","","0.81","0.79","0.74","","","","","","","","","","","","","","","","8.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.83","","185.39","944","","","58.9","568","75","","","","","","","34.73","392.9","22.23","120.21","72.8","","","","","","","","","","","","","648.8","52","92.65","10.9","40.14","7.32","2.18","6.79","0.9","4.27","0.74","1.97","0.26","1.54","0.25","3.08","3.85","","","","","","","","","","","6.35","2.03","","","","","","","","","","","","","","","","","","","","","","","","","1014918",
"[20202]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / BOW HILL KIMBERLITE","EAST KIMBERLEY REGION","-16.7","-16.7","128.4","128.4","SAE","","","s_84211074 [20202]","LAMPROPHYRE [20202]","","","","PROTEROZOIC [20202]","","","","","PLU","","","","","WR [20202] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.6","263.1","","","","","","","","","","","","","","","","","","","","31.11","4.03","","","","","","","","","","","","","","","","","","","","","","","","0.511268","","","0.73768","","","","","","","","","","","","","","","","","","","","","1029598",
"[20202]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / BOW HILL KIMBERLITE","EAST KIMBERLEY REGION","-16.7","-16.7","128.4","128.4","SAE","","","s_84211076 [20202]","LAMPROPHYRE [20202]","","","","PROTEROZOIC [20202]","","","","","PLU","","","","","WR [20202] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289.7","446","","","","","","","","","","","","","","","","","","","","98.75","11.84","","","","","","","","","","","","","","","","","","","","","","","","0.511216","","","0.73221","","","","","","","","","","","","","","","","","","","","","1029599",
"[20202]","INTRAPLATE VOLCANICS","AUSTRALIA / KIMBERLEY CRATON / WESTERN AUSTRALIA / BOW HILL KIMBERLITE","EAST KIMBERLEY REGION","-16.7","-16.7","128.4","128.4","SAE","","","s_84211078 [20202]","LAMPROPHYRE [20202]","","","","PROTEROZOIC [20202]","","","","","PLU","","","","","WR [20202] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","301.9","362.5","","","","","","","","","","","","","","","","","","","","45.58","6.44","","","","","","","","","","","","","","","","","","","","","","","","0.511281","","","0.73678","","","","","","","","","","","","","","","","","","","","","1029600",
"[20271]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / SHANDONG PROVINCE","JIAOJIA GOLD DEPOSIT, JIAODONG PENINSULA","37.408","37.408","120.1443","120.1443","SAE","","","s_LM-1 [20271]","LAMPROPHYRE [20271]","","","","CRETACEOUS [20271]","","","","","PLU","331","331","","","WR [20271] ","46.35","1.76","","15.6","","3.03","6.7","9.43","8.2","6.7","0.17","","2.51","3.1","0.7","","","","","","","","","","","","","","","","4.87","","","","","","","","","","","","","","","","","","","","","","","3182","","","21823","","","12224","166","128","","","36.29","3159.67438709677","","","","","","","","92.2","1608","30.6","301","168.4","","","","","","","","","","","","","956","55.3","139.8","12.37","49.75","8.43","2.53","7.54","1.09","6.41","1.06","3.11","0.44","2.6","0.36","6.12","4.88","","","","","","","","","5.28","","7.33","3.14","0.512553","","","0.7071988","","","","","","","","","","","","","","","","","","","","","1037995",
"[20271]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / SHANDONG PROVINCE","JIAOJIA GOLD DEPOSIT, JIAODONG PENINSULA","37.398","37.398","120.1338","120.1338","SAE","","","s_LM-2 [20271]","LAMPROPHYRE [20271]","","","","CRETACEOUS [20271]","","","","","PLU","415","415","","","WR [20271] ","45.67","1.93","","16.54","","3.87","6.56","10.04","7.04","7.64","0.21","","2.54","3.09","0.74","","","","","","","","","","","","","","","","4.23","","","","","","","","","","","","","","","","","","","","","","","3351","","","21783","","","12523","145","102","","","26.74","3131.57051612903","","","","","","","","116.38","901","29.15","282","165.8","","","","","","","","","","","","","693","52.1","131.4","11.54","47.12","8","2.39","7.21","1.04","6.1","1.02","2.96","0.42","2.42","0.38","5.63","4.78","","","","","","","","","6.31","","7.12","3.15","","","","","","","","","","","","","","","","","","","","","","","","","1037996",
"[20271]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / SHANDONG PROVINCE","JIAOJIA GOLD DEPOSIT, JIAODONG PENINSULA","37.408","37.408","120.1443","120.1443","SAE","","","s_LM-3 [20271]","LAMPROPHYRE [20271]","","","","CRETACEOUS [20271]","","","","","PLU","127","127","","","WR [20271] ","50.07","1.83","","13.03","","3.34","5.57","8.58","7.94","7.61","0.24","","2.22","3.3","0.89","","","","","","","","","","","","","","","","3.72","","","","","","","","","","","","","","","","","","","","","","","4007","","","19083","","","8406","109","84","","","31.12","2566.89677419355","","","","","","","","83.42","911","22.99","213","87.9","","","","","","","","","","","","","483","49.2","93.5","10.28","36.27","7.11","2.16","6.7","0.89","4.53","0.87","2.3","0.3","1.96","0.28","4.7","4.18","","","","","","","","","9.6","","7.76","1.72","0.5125985","","","0.7089897","","","","","","","","","","","","","","","","","","","","","1037997",
"[20271]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / SHANDONG PROVINCE","JIAOJIA GOLD DEPOSIT, JIAODONG PENINSULA","37.398","37.398","120.1338","120.1338","SAE","","","s_LM-4 [20271]","LAMPROPHYRE [20271]","","","","CRETACEOUS [20271]","","","","","PLU","163","163","","","WR [20271] ","47.12","2.37","","16.05","","3.57","6.84","10.05","7.68","4.96","0.3","","2.78","3.62","0.94","","","","","","","","","","","","","","","","3.57","","","","","","","","","","","","","","","","","","","","","","","4223","","","23798","","","13355","151","107","","","40.06","3383.46761290323","","","","","","","","90.38","495","33.72","303","99.5","","","","","","","","","","","","","484","57.9","120","13.65","55.82","9.84","3.91","8.9","1.15","7.18","1.32","3.33","0.47","2.98","0.42","5.68","7.36","","","","","","","","","4.47","","9.46","2.96","0.5127698","","","0.7071325","","","","","","","","","","","","","","","","","","","","","1037998",
