"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-39 [20101]","LATITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","57.26","0.65","","17.01","","","","4.95","5.66","1.53","0.13","","2.74","4.04","0.32","","","","","","","","","","","","","","","","4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","68","","","","25.1","1.1","6.5","77","17.6","","","","","72.3","520.3","20.7","216.1","24.8","","","","","","","","","","","","2.6","507","34.5","64.1","6.41","23.2","4.39","1.26","4.11","0.61","3.42","0.75","2.19","0.32","2.26","0.38","4.9","1.7","155.2","","","","","","","","","","8.6","2.9","","","","","","","","","","","","","","","","","","","","","","","","","1019330",
"[20172]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / VULCANO / LA FOSSA DI VULCANO","PALIZZI-COMMENDA, PIANO CALDERA","38.404","38.404","14.962","14.962","SAE","","","s_PA [20172]","LATITE [20172]","","","","","","","","PORPHYRITIC [20172] ","VOL","","","","","WR [20172] ","60.6","0.48","","17.01","","","","4.46","5.24","1.1","0.12","","5.86","4.11","0.33","","","","","","","","","","","","","","","","0.19","","","","","","","","","","","","","","47.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186.67","1044","27.95","232","26.75","","","","","","","","","","","","2.92","855","74.89","137.38","14.78","49.21","9.03","1.76","7.64","1.1","5.07","0.97","2.66","0.39","2.69","0.39","6.2","1.51","","","","","","","","","19.36","","36.82","9.68","","","","0.704663","","19.41","","15.7","","39.349","","","","","","","","","","","","","","","1027497",
"[20172]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / VULCANO / VULCANELLO / ROVETO FLOW","VULCANELLO PENINSULA, ROVETO LAVA FLOW","38.404","38.404","14.962","14.962","SAE","","","s_ROV [20172]","LATITE [20172]","","","","","","","","","VOL","","","","","WR [20172] ","58.83","0.57","","15.33","","","","5.54","6.84","1.94","0.14","","5.18","3.57","0.35","","","","","","","","","","","","","","","","1.09","","","","","","","","","","","","","","32.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179.99","1061","27.25","117","24.84","","","","","","","","","","","","9.69","779","70.95","128.75","14.35","48.33","9.03","1.56","7.6","0.99","5.08","0.96","2.64","0.39","2.66","0.39","5.17","1.44","","","","","","","","","37.71","","34.98","9.1","","","","0.704694","","19.414","","15.703","","39.359","","","","","","","","","","","","","","","1027501",
"[20288]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / TENDUREK","","39.2","39.2","44","44","SAE","","","s_08-126 [20288]","LATITE [20288]","","","","QUATERNARY [20288]","","","","","VOL","","","","","WR [20288] ","56.5","1.39","","16.75","","","","6.81","4.14","0.78","0.2","","4.52","6.23","0.26","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","10","","","","6.2","0.3","3.9","112","20.6","","1.7","0","","87.5","266.8","47.3","353.3","33","3.8","","","","0","0.2","","3","0","","","2.5","1441","48","98.3","11.35","43.7","7.86","2.65","7.42","1.32","7.43","1.64","4.81","0.74","4.98","0.76","7.3","1.8","1.2","","","","","0","0","0.3","12.5","0","10.6","4.6","","","","","","","","","","","","","","","","","","","","","","","","","1045035",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK HAYDARBEY UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_07VAN-E36 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","54.54","1.86","","16.43","","","","7.94","5.95","2.81","0.13","","3.24","4.04","0.73","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","188","","","","23.2","34.3","","","19.3","","","","","104.5","429.4","45.7","414.2","33.5","","","","","","","","","","","","3.8","636","64.6","129.3","14.87","58.3","9.22","2.08","8.43","1.36","8.1","1.58","4.46","0.68","4.34","0.63","9.9","1.8","","","","","","","","","3.7","","21.7","5.6","","","","","","","","","","","","","","","","","","","","","","","","","1051091",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK HAYDARBEY UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_V-E-193 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","54.78","1.8","","16.94","","","","7.64","6.32","2.75","0.12","","3.17","4.23","0.71","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","193","","","","20.8","29.5","","","17.9","","","","","105.3","454.4","38.9","369.6","30.7","","","","","","","","","","","","3.7","596","59.5","120.7","13.26","48.3","8.75","1.91","7.56","1.2","6.99","1.36","3.96","0.59","3.66","0.56","8.7","1.8","","","","","","","","","2.3","","20.6","4.9","","","","","","","","","","","","","","","","","","","","","","","","","1051092",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KAVAKTEPE UNIT","KAVAKTEPE","39.2","39.2","43","43","SAE","","","s_V-E-212 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","58.88","1.02","","16.63","","","","5.67","5.26","2.76","0.12","","2.98","4.39","0.35","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","129","","","","19.6","13.9","","","18.1","","","","","92","367.7","41.3","292.1","23","","","","","","","","","","","","2.1","593","56.9","94.3","12.15","45.4","8.18","1.86","7.64","1.24","7.12","1.42","4","0.62","3.9","0.59","6.9","1.3","","","","","","","","","1.9","","15.2","4.4","","","","","","","","","","","","","","","","","","","","","","","","","1051116",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KAVAKTEPE UNIT","KAVAKTEPE","39.2","39.2","43","43","SAE","","","s_V-E-226 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","60.44","0.91","","17.07","","","","4.98","4.69","2.28","0.1","","3.09","4.36","0.31","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","110","","","","16.1","15.2","","","17.7","","","","","101.7","403.1","36.7","289.1","23.9","","","","","","","","","","","","2.4","603","52.3","88.3","10.79","40.9","6.96","1.63","6.19","0.98","5.56","1.11","3.43","0.52","3.33","0.5","7.3","1.4","","","","","","","","","3.2","","16.1","4.4","","","","","","","","","","","","","","","","","","","","","","","","","1051117",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_07VAN-E18 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","60.33","0.99","","17.12","","","","4.49","4.4","2.42","0.1","","3.16","4.81","0.35","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","101","","","","20.6","13.3","","","17.4","","","","","85.6","360.9","40.3","319.1","27.2","","","","","","","","","","","","1.9","608","52.8","106.8","11.72","43.9","8.14","1.81","7.35","1.22","6.92","1.33","3.72","0.57","3.57","0.55","8.2","1.7","","","","","","","","","5.6","","14.4","4.3","","","","","","","","","","","","","","","","","","","","","","","","","1051118",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_07VAN-E20 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","60.28","0.99","","17.42","","","","4.94","3.38","2.29","0.06","","3.35","4.44","0.34","","","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","103","","","","11.4","10.2","","","17.4","","","","","91.2","339.6","47.8","319.9","26.2","","","","","","","","","","","","1.5","578","46.1","96.3","10.53","39.6","7.44","1.88","7.54","1.36","8.22","1.57","4.51","0.66","4.07","0.64","7.4","1.6","","","","","","","","","2.8","","14.2","4","","","","","","","","","","","","","","","","","","","","","","","","","1051119",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_07VAN-E21 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","57.84","1.06","","16.86","","","","5.59","5.42","3.32","0.12","","2.83","4.66","0.36","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","108","","","","18.4","26.2","","","16.7","","","","","78.7","405.9","32.2","271.9","23.6","","","","","","","","","","","","1.9","530","42.3","83.8","9.33","35.2","6.31","1.58","5.52","0.92","5.4","1.07","3.1","0.47","3.05","0.49","6.7","1.5","","","","","","","","","5","","12.1","3.5","","","","","","","","","","","","","","","","","","","","","","","","","1051120",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_08VAN-E87 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","60.54","1.01","","17.75","","","","4.29","4.78","2.13","0.08","","3.02","4.62","0.29","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","105","","","","13.8","6.4","","","18.2","","","","","89.1","380.4","30.4","303.8","24.8","","","","","","","","","","","","2.7","549","43.5","84.5","9.74","37.8","6.88","1.63","6.22","1.04","5.89","1.2","3.45","0.55","3.36","0.52","7","1.6","","","","","","","","","3","","14.6","4.5","","","","","","","","","","","","","","","","","","","","","","","","","1051121",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_08VAN-E96 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","59.95","1.01","","16.69","","","","5.21","5.03","2.61","0.1","","3.05","4.44","0.35","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","107","","","","14","13.4","","","17.6","","","","","94.8","381.3","35.9","281.1","23.8","","","","","","","","","","","","2.1","599","50.4","93.2","11.03","40.5","6.95","1.63","6.39","1.04","5.95","1.22","3.55","0.52","3.53","0.52","6.7","1.3","","","","","","","","","4.8","","15","4.1","","","","","","","","","","","","","","","","","","","","","","","","","1051122",
