"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[974]","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SALT LAKE CRATER","21.34","21.34","-157.92","-157.92","SAE","","","s_SL009 [974]","LHERZOLITE, SPINEL, XENOLITH [974]","","","","","","","","COARSE-GRAINED [974] ","PER","","","","","WR [974] ","43.39","0.15","","1.51","0.2","1.68","6.57","","1.41","44.02","0.2","0.28","0.04","0.3","","","0.13","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10119",
"[974]","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SALT LAKE CRATER","21.34","21.34","-157.92","-157.92","SAE","","","s_SL305 [974]","LHERZOLITE, SPINEL, XENOLITH [974]","","","","","","","","COARSE-GRAINED [974] ","PER","","","","","WR [974] ","43.04","0.34","","1.36","0.22","3.11","5.69","","1.1","44.4","0.11","0.21","0.08","0.37","","","0.14","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10120",
"[974]","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SALT LAKE CRATER","21.34","21.34","-157.92","-157.92","SAE","","","s_SL014 [974]","LHERZOLITE, SPINEL, XENOLITH [974]","","","","","","","","COARSE-GRAINED [974] ","PER","","","","","WR [974] ","44.18","0.32","","3.7","0.28","3.43","6.03","","3.37","37.91","0.14","0.24","0.04","0.44","","","0.14","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10121",
"[974]","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SALT LAKE CRATER","21.34","21.34","-157.92","-157.92","SAE","","","s_SL122 [974]","LHERZOLITE, SPINEL, XENOLITH [974]","","","","","","","","FINE-GRAINED [974] ","PER","","","","","WR [974] ","43.12","0.27","","2.34","0.28","3.04","7.99","","2.09","39.93","0.14","0.24","0.07","0.38","","","0.27","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10122",
"[974]","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SALT LAKE CRATER","21.34","21.34","-157.92","-157.92","SAE","","","s_SL096 [974]","LHERZOLITE, SPINEL, XENOLITH [974]","","","","","","","","FINE-GRAINED [974] ","PER","","","","","WR [974] ","42.89","0.41","","3.6","0.38","2.7","9.49","","3.12","36.56","0.15","0.22","0.05","0.56","","","0.08","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10123",
"[974]","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SALT LAKE CRATER","21.34","21.34","-157.92","-157.92","SAE","","","s_SL109 [974]","LHERZOLITE, SPINEL, XENOLITH [974]","","","","","","","","FINE-GRAINED [974] ","PER","","","","","WR [974] ","43.83","0.28","","3.58","0.25","3.58","5.5","","3.89","37.69","0.13","0.23","0.07","0.62","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10124",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX25 [17969]","LHERZOLITE, XENOLITH [17969]","","","","","","","","PROTOGRANULAR-EQUIGRANULAR [17969] ","PER","","","","","WR [17969] ","43.9","0.08","","2.71","","","","8.66","2.51","40.61","0.14","","0.13","0.31","","","","","","","","","","","","","","","","","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7","","59.4","2887","","","","2222","26.1","54.3","","","","","","2.37","29.3","2.28","6.43","1.95","","0.006121","0.001262","0.007176","","","","","","","","","8.05","0.246","0.794","0.128","0.651","0.223","0.084","0.3","0.056","0.365","0.082","0.238","0.037","0.242","0.037","0.14","0.06","","0.00018","0.00383","0.002914","0.016182","","","","1.02","","0.07","0.13","","","","","","","","","","","","","","","0.12285","","0.227","","","","","","","","1013605",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX8 [17969]","LHERZOLITE, XENOLITH [17969]","","","","","","","","PROTOGRANULAR-EQUIGRANULAR [17969] ","PER","","","","","WR [17969] ","41.07","0.05","","2.9","","","","6.91","2.62","38.62","0.1","","0.15","0.2","","","","","","","","","","","","","","","","","6.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1","","53.9","3224","","","","2486","10.7","50.8","","","","","","1.13","11.72","1.92","1.13","0.75","","0.006223","0.001247","0.004302","","","","","","","","","1.08","0.176","0.542","0.09","0.474","0.152","0.057","0.201","0.037","0.252","0.058","0.165","0.025","0.171","0.026","0.08","0.08","","0.000153","0.003711","0.002992","0.006648","","","","1.78","","0.05","0.03","","","","","","","","","","","","","","","0.12239","","0.1992","","","","","","","","1013606",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX18 [17969]","LHERZOLITE, XENOLITH [17969]","","","","","","","","PROTOGRANULAR-EQUIGRANULAR [17969] ","PER","","","","","WR [17969] ","42.59","0.05","","2.14","","","","8.04","2.58","39.53","0.1","","0.12","0.1","","","","","","","","","","","","","","","","","3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4","","32.3","2936","","","","2160","9.4","50.1","","","","","","16.53","82.27","1.15","1.87","0.87","","","","","","","","","","","","","5.07","0.192","0.506","0.072","0.352","0.104","0.037","0.13","0.026","0.181","0.039","0.116","0.019","0.129","0.019","0.06","0.05","","","","","","","","","1.09","","0.11","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1013607",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX12 [17969]","LHERZOLITE, XENOLITH [17969]","","","","","","","","PROTOGRANULAR-EQUIGRANULAR [17969] ","PER","","","","","WR [17969] ","44.3","0.06","","2.85","","","","8.22","2.45","39.91","0.13","","0.01","0.11","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7","","62.7","2865","","","","2021","18.7","56.6","","","","","","1.46","8.57","2.14","2.65","0.08","","0.00641","0.00129","0.004912","","","","","","","","","1.32","0.162","0.524","0.104","0.556","0.202","0.074","0.281","0.051","0.352","0.077","0.23","0.035","0.233","0.037","0.09","0","","0.000168","0.003822","0.003082","0.006449","","","","0.89","","0.02","0.06","","","","","","","","","","","","","","","0.12212","","0.2121","","","","","","","","1013608",
