"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM2 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","37.29","2.6","","11.59","","","","13.39","13.46","9.01","0.34","","2.77","5.09","2.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65","","","","","","","","65","1611","53","366","169","","","","","","","","","","","","","842","223","368","","167","23.7","5.1","","","13.7","","","","5.4","","","","","","","","","","","","6","","24","","","","","","","","","","","","","","","","","","","","","","","","","","100287",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM4-2 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.61","2.58","","11.43","","","","13.24","14.37","8.51","0.34","","2.94","5.22","2.28","","0.57","0.16","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","","","73","2168","52","354","157","","","","","","","","","","","","","1600","214","357","","160","23.6","4.9","","","13.4","","","","4.9","","","","","","","","","","","","9","","23","","","","","","","","","","","","","","","","","","","","","","","","","","100288",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM4-3 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.63","2.6","","11.44","","","","13.39","14.44","8.7","0.34","","2.64","4.54","2.32","","1.49","0.2","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","","","","","","","68","2286","52","352","154","","","","","","","","","","","","","1699","213","359","","162","23.6","4.9","","","13.3","","","","5.1","","","","","","","","","","","","9","","23","","","","","","","","","","","","","","","","","","","","","","","","","","100289",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM7 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","37.66","2.56","","11.66","","","","13.29","13.21","9.34","0.35","","2.28","4.19","2.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","","","","","","","","59","2033","54","370","160","","","","","","","","","","","","","1092","213","356","","160","23.4","4.8","","","13.1","","","","5.5","","","","","","","","","","","","9","","24","","","","","","","","","","","","","","","","","","","","","","","","","","100290",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM14-2 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.37","2.57","","11.34","","","","13.21","14.65","8.54","0.33","","2.72","4.69","2.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","","","","","","","","71","2299","51","350","152","","","","","","","","","","","","","1856","213","360","","164","23.6","5","","","13.2","","","","5.3","","","","","","","","","","","","10","","22","","","","","","","","","","","","","","","","","","","","","","","","","","100291",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM21-8 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.98","2.59","","11.33","","","","13.37","15.14","8.61","0.34","","2.18","3.8","2.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","","","68","2210","53","369","162","","","","","","","","","","","","","1553","216","361","","174","23.6","5","","","13.4","","","","5.4","","","","","","","","","","","","9","","24","","","","","","","","","","","","","","","","","","","","","","","","","","100292",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM16-1 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.63","2.59","","11.42","","","","13.3","14.46","8.63","0.34","","2.31","4.62","2.28","","1.42","0.43","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","","","","","","","61","2937","52","360","158","","","","","","","","","","","","","1891","195","326","","152","21.6","4.5","","","12.2","","","","4.8","","","","","","","","","","","","9","","23","","0.512824","","","0.703885","","","","","","","","","","","","","","","","","","","","","100293",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM12 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.95","2.6","","11.53","","","","13.43","11.92","9.64","0.38","","2.88","4.99","2.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","","","","","","","","70","1274","52","348","143","","","","","","","","","","","","","1250","217","356","","164","23.4","5","","","13.3","","","","5","","","","","","","","","","","","9","","23","","","","","","","","","","","","","","","","","","","","","","","","","","100294",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM22-7 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.88","2.61","","11.31","","","","13.35","15.19","8.51","0.34","","1.91","4.11","2.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","","","51","2102","51","347","140","","","","","","","","","","","","","1058","215","359","","170","23.5","5","","","13.1","","","","5.3","","","","","","","","","","","","5","","22","","","","","","","","","","","","","","","","","","","","","","","","","","100295",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM14-1 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.49","2.59","","11.36","","","","13.5","13.25","9.47","0.34","","2.65","4.54","2.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","","","","","","","","67","1737","51","349","148","","","","","","","","","","","","","1099","211","352","","160","23.3","4.8","","","13","","","","5.2","","","","","","","","","","","","9","","23","","0.512846","","","0.703859","","","","","","","","","","","","","","","","","","","","","100296",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM14L [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.41","2.56","","11.4","","","","13.1","15.04","8.41","0.33","","2.48","4.5","2.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","","","69","2519","52","352","155","","","","","","","","","","","","","1590","210","356","","161","23.1","4.9","","","13.1","","","","5.2","","","","","","","","","","","","5","","23","","","","","","","","","","","","","","","","","","","","","","","","","","100297",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM11-1 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.23","2.58","","11.29","","","","13.46","14.04","8.8","0.34","","2.63","4.71","2.34","","1.31","0.36","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","","","","","","","","63","2797","51","348","149","","","","","","","","","","","","","1424","216","361","","166","23.6","5","","","13.4","","","","5","","","","","","","","","","","","10","","23","","0.512824","","","0.703794","","","","","","","","","","","","","","","","","","","","","100298",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM6 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","37.14","2.58","","11.49","","","","13.41","14.71","8.74","0.34","","2.01","3.71","2.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","","","","","","","59","2562","53","366","157","","","","","","","","","","","","","1243","214","363","","163","23.6","5","","","13.4","","","","5.5","","","","","","","","","","","","9","","25","","","","","","","","","","","","","","","","","","","","","","","","","","100299",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM1 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","37.35","2.6","","11.61","","","","13.14","15.23","9.03","0.34","","1.56","3.3","2.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","","","","","","","","45","2643","51","363","158","","","","","","","","","","","","","1675","213","358","","164","22.9","4.9","","","13.1","","","","5.3","","","","","","","","","","","","9","","24","","","","","","","","","","","","","","","","","","","","","","","","","","100300",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM3 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","38.73","2.59","","11.49","","","","13.35","15.07","8.81","0.34","","1.99","3.57","2.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","","","","","","","","55","2343","53","359","157","","","","","","","","","","","","","1730","221","367","","165","23.9","5.1","","","13.7","","","","5.1","","","","","","","","","","","","9","","24","","","","","","","","","","","","","","","","","","","","","","","","","","100301",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM14U [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.77","2.54","","11.44","","","","13.15","15.48","8.56","0.33","","1.97","3.74","2.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","","","","","","","","55","2451","51","352","149","","","","","","","","","","","","","1701","","","","","","","","","","","","","","","","","","","","","","","","","8","","23","","","","","","","","","","","","","","","","","","","","","","","","","","100302",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM17 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.6","2.59","","11.49","","","","13.27","15.25","8.52","0.33","","1.69","4.15","2.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","","","","","","","48","2072","50","325","129","","","","","","","","","","","","","1172","206","343","","158","22.8","4.7","","","12.8","","","","4.7","","","","","","","","","","","","7","","20","","","","","","","","","","","","","","","","","","","","","","","","","","100303",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM8 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.91","2.6","","11.39","","","","13.58","13.11","9.71","0.35","","2.19","3.99","2.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","","","","","","","","56","1852","52","351","149","","","","","","","","","","","","","956","211","352","","158","23.1","4.8","","","12.9","","","","5.1","","","","","","","","","","","","9","","25","","","","","","","","","","","","","","","","","","","","","","","","","","100304",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM14M [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.42","2.61","","11.23","","","","13.53","14.18","9.33","0.34","","2.19","3.85","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","","","","","","","","59","2037","53","363","157","","","","","","","","","","","","","1133","213","357","","157","23.9","4.9","","","13.3","","","","5.2","","","","","","","","","","","","10","","25","","","","","","","","","","","","","","","","","","","","","","","","","","100305",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM21-7 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","37.13","2.6","","11.09","","","","13.5","14.91","8.63","0.34","","1.81","3.69","2.23","","2.24","0.46","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","","","","","","","","61","2405","53","371","157","","","","","","","","","","","","","1573","218","362","","173","24","5","","","13.5","","","","5.3","","","","","","","","","","","","9","","23","","","","","","","","","","","","","","","","","","","","","","","","","","100306",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM11-2 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.45","2.59","","11.46","","","","13.3","15.38","8.75","0.34","","1.82","3.47","2.28","","2.69","0.47","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","","","","","","","","49","2222","53","359","158","","","","","","","","","","","","","1481","218","365","","167","24","5","","","13.6","","","","5.2","","","","","","","","","","","","9","","23","","0.512827","","","0.703889","","","","","","","","","","","","","","","","","","","","","100307",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM21-5 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.95","2.59","","11.28","","","","13.38","15.58","8.64","0.34","","1.79","2.92","2.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","","","","","","","","61","2259","53","377","165","","","","","","","","","","","","","1711","222","370","","172","24","5","","","13.8","","","","5.4","","","","","","","","","","","","9","","24","","","","","","","","","","","","","","","","","","","","","","","","","","100308",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM21-3 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","37.14","2.6","","11.25","","","","13.22","13.47","9.83","0.33","","2.49","3.2","2.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","","","","","","","93","2148","52","366","153","","","","","","","","","","","","","2342","210","349","","160","23","4.9","","","12.8","","","","5.1","","","","","","","","","","","","9","","24","","","","","","","","","","","","","","","","","","","","","","","","","","100309",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM4-1 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","36.58","2.58","","11.45","","","","13.3","15.1","8.49","0.34","","2.14","3.36","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","","","58","2200","53","380","159","","","","","","","","","","","","","1634","217","364","","162","23.5","5","","","13.7","","","","5","","","","","","","","","","","","8","","23","","","","","","","","","","","","","","","","","","","","","","","","","","100310",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM21-4 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","37.17","2.6","","11.45","","","","13.4","15.28","8.65","0.34","","1.4","2.85","2.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","","","","","","","52","2723","54","373","158","","","","","","","","","","","","","1606","216","363","","163","24","5","","","13.5","","","","5.3","","","","","","","","","","","","9","","24","","","","","","","","","","","","","","","","","","","","","","","","","","100311",
"[4737]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA","SHIMANE PREFECTURE","34","35","131","133","SAE","","","s_HM22-3 [4737]","NEPHELINITE [4737]","","","","CENOZOIC [4737]","","","","EXTREMELY FINE-GRAINED [4737] ","VOL","","","","","WR [4737] ","37.28","2.62","","11.09","","","","13.25","14.53","9.49","0.35","","1.97","2.63","2.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","","","","","","","","66","2166","51","358","145","","","","","","","","","","","","","1771","197","330","","154","22.3","4.6","","","12.5","","","","4.8","","","","","","","","","","","","8","","22","","","","","","","","","","","","","","","","","","","","","","","","","","100312",
