"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19971]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / BENFONTEIN KIMBERLITE","","-28.817","-28.817","24.817","24.817","SAE","","","s_S5 [19971]","ORE [19971]","","","","","","","","","ORE","","","","","WR [19971] ","3.17","10.98","","9.21","","18.78","11.04","","16.49","14.99","0.22","","0","0.04","1.67","","1.9","0.23","","10.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001344",
"[21024]","INTRAPLATE VOLCANICS","BALTIC SHIELD / KOLA-LAPLAND PROVINCE / LOVOZERO MASSIF","","67.72","67.92","34.43","35.07","SAE","","","s_04-96 [21024]","ORE, EUDIALITE [21024]","","","","DEVONIAN [21024]","","","","","ORE","","","","","WR [21024] ","50.78","1.11","","11.95","","6.79","1.3","","1.31","0.72","0.33","","5.28","9.66","","","","0.16","","","","","0.32","","","","","","","","1.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184","770","","","","","","","","","","","","","","","","","","","","111","19","","","","","","","","","0.44","59","","","","","","0.35722","","","","59","","81.34","26.76","","","","","","19.573","","15.443","","39.615","","","","","","","","","","","","","","","1168289",
"[5604]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / ALEXO KOMATIITE","ALEXO AREA, 45 KM NW OF TIMMINS, DUNDONALD TOWNSHIP, WEST OF MUNRO","48.47","48.47","-81.4","-81.4","SAE","","","s_AX4 [5604]","ORE [5604]","","","","ARCHEAN [5604]","","","","","ORE","","","","","WR [5604] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03353","0.07018","","","","","","","","","","","","","","","","","","","","","","","","0.258","","2.3","","","","","","","","157432",
"[5604]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / ALEXO KOMATIITE","ALEXO AREA, 45 KM NW OF TIMMINS, DUNDONALD TOWNSHIP, WEST OF MUNRO","48.47","48.47","-81.4","-81.4","SAE","","","s_AX9 [5604]","ORE [5604]","","","","ARCHEAN [5604]","","","","","ORE","","","","","WR [5604] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05566","0.06409","","","","","","","","","","","","","","","","","","","","","","","","0.3349","","4.18","","","","","","","","157433",
"[5604]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / ALEXO KOMATIITE","ALEXO AREA, 45 KM NW OF TIMMINS, DUNDONALD TOWNSHIP, WEST OF MUNRO","48.47","48.47","-81.4","-81.4","SAE","","","s_AX12 [5604]","ORE [5604]","","","","ARCHEAN [5604]","","","","","ORE","","","","","WR [5604] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0333","0.07975","","","","","","","","","","","","","","","","","","","","","","","","0.2601","","2.01","","","","","","","","157434",
"[5604]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / ALEXO KOMATIITE","ALEXO AREA, 45 KM NW OF TIMMINS, DUNDONALD TOWNSHIP, WEST OF MUNRO","48.47","48.47","-81.4","-81.4","SAE","","","s_AX26 [5604]","ORE [5604]","","","","ARCHEAN [5604]","","","","","ORE","","","","","WR [5604] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01336","0.04334","","","","","","","","","","","","","","","","","","","","","","","","0.3303","","1.48","","","","","","","","157435",
"[7328]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / EASTERN MEXICAN BASIN AND RANGE / SAN LUIS POTOSI","LAS CUEVAS FLUORITE DEPOSIT, ZARAGOZA-RIO VERDE DISTRICT, SIERRA DE ALVAREZ","21.9","21.9","-100.2","-100.2","SAE","","","s_672H [7328]","ORE, FLUORITE [7328]","","","","","","","","","ORE","","","","","WR [7328] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.66","","","","","","","","412","","","","269","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189820",
"[7328]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / EASTERN MEXICAN BASIN AND RANGE / SAN LUIS POTOSI","LAS CUEVAS FLUORITE DEPOSIT, ZARAGOZA-RIO VERDE DISTRICT, SIERRA DE ALVAREZ","21.9","21.9","-100.2","-100.2","SAE","","","s_672J [7328]","ORE, FLUORITE [7328]","","","","","","","","","ORE","","","","","WR [7328] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","","","","","","489","","","","253","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189821",
"[7328]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / EASTERN MEXICAN BASIN AND RANGE / SAN LUIS POTOSI","LAS CUEVAS FLUORITE DEPOSIT, ZARAGOZA-RIO VERDE DISTRICT, SIERRA DE ALVAREZ","21.9","21.9","-100.2","-100.2","SAE","","","s_624I-1 [7328]","ORE, FLUORITE [7328]","","","","","","","","","ORE","","","","","WR [7328] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","","","","","","","","1069","","","","2186","","","","","","","","","","","","","","","","","5.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70764","","","","","","","","","","","","","","","","","","","","","189822",
"[7328]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / EASTERN MEXICAN BASIN AND RANGE / SAN LUIS POTOSI","LAS CUEVAS FLUORITE DEPOSIT, ZARAGOZA-RIO VERDE DISTRICT, SIERRA DE ALVAREZ","21.9","21.9","-100.2","-100.2","SAE","","","s_624G-1 [7328]","ORE, FLUORITE [7328]","","","","","","","","","ORE","","","","","WR [7328] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","","","","","","","","197","","","","314","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70758","","","","","","","","","","","","","","","","","","","","","189823",
