"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18085]","INTRAPLATE VOLCANICS","BALTIC SHIELD / KOLA-LAPLAND PROVINCE / KANDALAKSHA GRABEN","ELOVY ISLAND","66.73","66.73","32.88","32.88","SAE","","","s_436-24B [18085]","ORTHOPYROXENITE [18085]","","","","","","","","","PLU","","","","","WR [18085] ","50.69","0.26","","4.68","","15.02","","","1.98","24.45","0.19","","0.24","0.7","0.04","","","","","","","","","","","","","","","","1.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","107","6380","","","","1047","15","231","","","","","","5.1","85.6","5","27","6","","","","","","","","","","","","","300","8.02","16.42","1.91","5.91","1.01","0.32","1.05","","0.81","0.17","0.42","","0.35","0.06","","","","","","","","","","","","","","","0.512345","","","0.70789","","","","","","","","","","","","","","","","","","","","","1041732",
"[20354]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT","HANNUOBA-HUAI^AN AREA","40","41","114","115","SAE","","","s_J 52 [20354]","ORTHOPYROXENITE, XENOLITH [20354]","","","","","","","","","PER","","","","","WR [20354] ","47.7","0.6","","5.44","","","","14.67","1.35","27.7","0.17","","0.08","0.04","0.01","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","1.42","0.08","","","","","","","","","","","","","20.5","","162","2744","","","117","639","5.36","149","12.7","","","","","1.51","184","1.24","14.5","0.87","","","","","","","","","","","","0.02","14.4","0.81","1.06","0.2","0.93","0.3","0.15","0.3","0.04","0.24","0.04","0.12","0.02","0.15","0.02","0.6","0.05","","","","","","","","","0.13","","0.03","0.03","","","","","","","","","","","","","","","","","","","","","","","","","1056188",
"[20421]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / CZECH REPUBLIC / BOHEMIAN MASSIF / GFÖHL UNIT","MEIDLING-IM-TAL","48.3403","48.3403","15.6611","15.6611","SAE","","","s_11MD3 GRT OPXITE [20421]","ORTHOPYROXENITE, GARNET, XENOLITH [20421]","","","","","","","","","PER","","","","","WR [20421] ","50.57","0.09","","5.32","","1.98","3.86","","2.64","29.85","0.11","","0.13","0.18","0.03","","","","","","","","","","","","","","","","4.86","","","","","","","","","","","","","","22.4718446601942","","","","","","","","","","","","","","17.6366990291262","","","","","","54.0941747572816","843.344660194175","13.5174757281553","","","","","","","2.84368932038835","11.8407766990291","2.10485436893204","1.95631067961165","0.456310679611651","","","","","","","","","","","","0.548543689320388","18.4805825242718","0.743689320388349","1.44563106796117","0.145631067961165","0.506796116504854","0.107766990291262","3.98058252427185E-02","0.192233009708738","3.98058252427185E-02","0.319417475728155","7.66990291262136E-02","0.25631067961165","4.07766990291262E-02","0.287378640776699","4.66019417475728E-02","0.083495145631068","","","","","","","","","","1.40485436893204","","0.267961165048544","0.11","","","","","","","","","","","","","","","","","","","","","","","","","1062441",
"[5133][5422]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_DH68 [5133]","ORTHOPYROXENITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","52.93","0.11","","2.02","","0.71","7.24","","2.51","28.83","0.18","","0.18","0.04","0.04","","4.56","","","0.15","","","","","","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112528",
"[20886]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / ANHUI PROVINCE / MAOWU MAFIC-ULTRAMAFIC BODY","","30.5011","30.5011","116.305","116.305","SAE","","","s_MW5-1 [20886]","ORTHOPYROXENITE [20886]","","","PALEO [20886]","PROTEROZOIC [20886]","","","","","PLU","","","","","WR [20886] ","49.04","0.02","","0.8","","","","5.97","0.11","43.26","0.06","","0.02","0.02","","","","","","","","","","","","","","","","","1.54","","","","","","","","","","","","","","1.2849","0.253","","","","","","","","","0","","","","6.6804","","26.4105","2383.499","","","114.381","2951.371","3.1533","44.7275","1.477","","","","","0.326","6.4755","0.158","5.132","1.2792","","0.00324","","0.00014","","","","","","","","0.0665","35.0336","0.131","0.28","0.028","0.1062","0.0249","0.0115","0.0345","0.0042","0.0235","0.005","0.0129","0.0014","0.0108","0.002","0.169","0.0778","","0.00015","0.00187","0.00154","0.00147","","","0.0359","0.4955","","0.0365","0.0155","","","","","","","","","","","","","","","0.11607","","","","","","","","","","1146289",
"[20886]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / ANHUI PROVINCE / MAOWU MAFIC-ULTRAMAFIC BODY","","30.5011","30.5011","116.305","116.305","SAE","","","s_MW5-2 [20886]","ORTHOPYROXENITE [20886]","","","PALEO [20886]","PROTEROZOIC [20886]","","","","","PLU","","","","","WR [20886] ","56.34","0.04","","0.8","","","","5.3","0.32","35.6","0.07","","0.06","0.67","","","","","","","","","","","","","","","","","0.94","","","","","","","","","","","","","","1.15","0.5113","","","","","","","","","","","","","4.975","","15.388","3042.802","","","92.441","2342.354","16.36216","67.59","1.892","","","","","1.302","35.077","5.524","6.4655","0.4","","","","","","","","","","","","0.054","18.4212","1.72","1.943","0.369","1.726","0.484","0.138","0.541","0.101","0.6542","0.136","0.371","0.048","0.293","0.0488","0.2425","0.0241","","","","","","","","0.047","2.87","","0.051","0.077","","","","","","","","","","","","","","","","","","","","","","","","","1146290",
"[20886]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / ANHUI PROVINCE / MAOWU MAFIC-ULTRAMAFIC BODY","","30.5011","30.5011","116.305","116.305","SAE","","","s_MW25-1 [20886]","ORTHOPYROXENITE [20886]","","","PALEO [20886]","PROTEROZOIC [20886]","","","","","PLU","","","","","WR [20886] ","56.68","0.09","","1.12","","","","6.27","0.17","34.85","0.08","","0.02","0.01","","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","1.8877","0.4094","","","","","","","","","","","","","7.8018","","40.194","2224.267","","","84.868","1761.144","34.8722","80.943","1.58","","","","","0.658","2.93","1.171","9.6784","0.967","","","","","","","","","","","","0.032","7.2605","0.201","0.536","0.054","0.2","0.0633","0.025","0.115","0.0259","0.188","0.042","0.117","0.017","0.108","0.016","0.279","0.044","","","","","","","","0.037","2.027","","0.043","0.019","","","","","","","","","","","","","","","","","","","","","","","","","1146291",
"[20886]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / ANHUI PROVINCE / MAOWU MAFIC-ULTRAMAFIC BODY","","30.5011","30.5011","116.305","116.305","SAE","","","s_MW29-1 [20886]","ORTHOPYROXENITE [20886]","","","PALEO [20886]","PROTEROZOIC [20886]","","","","","PLU","","","","","WR [20886] ","56.86","0.08","","0.74","","","","5.04","0.32","36.1","0.05","","0.02","0.19","","","","","","","","","","","","","","","","","0.94","","","","","","","","","","","","","","1.6754","0.623","","","","","","","","","","","","","4.5219","","17.491","2756.413","","","82.167","2354.092","8.03736","74.8","2.637","","","","","0.9057","5.607","0.626","9.5886","0.878","","","","","","","","","","","","0.031","10.997","0.801","1.573","0.182","0.7034","0.1451","0.04","0.159","0.024","0.133","0.023","0.058","0.008","0.05","0.008","0.2952","0.055","","","","","","","","0.037","2.283","","0.33","0.082","","","","","","","","","","","","","","","","","","","","","","","","","1146292",
"[20886]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / ANHUI PROVINCE / MAOWU MAFIC-ULTRAMAFIC BODY","","30.5011","30.5011","116.305","116.305","SAE","","","s_MW29-7 [20886]","ORTHOPYROXENITE [20886]","","","PALEO [20886]","PROTEROZOIC [20886]","","","","","PLU","","","","","WR [20886] ","56.08","0.09","","1.34","","","","5.81","0.19","35.72","0.08","","0.02","0.01","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","1.7235","0.583","","","","","","","","","","","","","5.7704","","16.371","2032.795","","","73.607","2040.926","9.553","72.353","2.868","","","","","0.9723","4.08","1.53","13.7587","0.7755","","","","","","","","","","","","0.025","12.191","0.742","1.709","0.165","0.532","0.119","0.037","0.194","0.0441","0.279","0.0533","0.148","0.0225","0.145","0.023","0.3415","0.048","","","","","","","","0.036","2.051","","0.279","0.08","","","","","","","","","","","","","","","","","","","","","","","","","1146293",
"[20886]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / ANHUI PROVINCE / MAOWU MAFIC-ULTRAMAFIC BODY","","30.5011","30.5011","116.305","116.305","SAE","","","s_MW32-2 [20886]","ORTHOPYROXENITE [20886]","","","PALEO [20886]","PROTEROZOIC [20886]","","","","","PLU","","","","","WR [20886] ","56.86","0.01","","1.05","","","","4.71","0.19","36.46","0.05","","0.02","0.01","","","","","","","","","","","","","","","","","1.56","","","","","","","","","","","","","","1.2303","0.603","","","","","","","","","0","","","","5.0802","","14.133","3713.279","","","96.855","2588.6","7.2866","72.973","2.931","","","","","1.3847","26.708","1.34","12.3915","0.1065","","0.00171","","0.00004","","","","","","","","0.073","11.686","2.478","4.702","0.625","2.477","0.517","0.126","0.424","0.051","0.212","0.035","0.0857","0.0121","0.073","0.012","0.35","0.007","","0.00011","0.0006","0.00054","0.00032","","","0.044","3.51","","0.154","0.058","","","","","","","","","","","","","","","0.11422","","","","","","","","","","1146294",
