"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20105]","RIFT VOLCANICS","EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT / CORBETTI VOLCANIC SYSTEM","CHABBI VOLCANO, GALLA LAKES REGION","7.17","7.17","38.45","38.45","SAE","","","s_1 [20105]","PANTELLERITIC RHYOLITE [20105]","","","","QUATERNARY [20105]","","","","NON-PORPHYRITIC [20105] ","VOL","","","","","GL [20105] ","74.4","0.35","","9.42","","1.77","2.88","","0.2","0.16","0.22","","4.29","5.33","","","0.47","","","","","0.25","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020050",
"[20105]","RIFT VOLCANICS","EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT / CORBETTI VOLCANIC SYSTEM","CHABBI VOLCANO, GALLA LAKES REGION","7.17","7.17","38.45","38.45","SAE","","","s_2 [20105]","PANTELLERITIC RHYOLITE [20105]","","","","QUATERNARY [20105]","","","","NON-PORPHYRITIC [20105] ","VOL","","","","","GL [20105] ","74.4","0.27","","9.41","","1.65","2.9","","0.24","0.13","0.21","","4.39","5.49","","","0.41","","","","","0.25","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020051",
"[20105]","RIFT VOLCANICS","EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT / CORBETTI VOLCANIC SYSTEM","CHABBI VOLCANO, GALLA LAKES REGION","7.17","7.17","38.45","38.45","SAE","","","s_3 [20105]","PANTELLERITIC RHYOLITE [20105]","","","","QUATERNARY [20105]","","","","NON-PORPHYRITIC [20105] ","VOL","","","","","GL [20105] ","74.2","0.27","","9.4","","1.74","2.9","","0.21","0.15","0.21","","4.26","5.23","","","0.4","","","","","0.24","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020052",
"[20105]","RIFT VOLCANICS","EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT / CORBETTI VOLCANIC SYSTEM","CHABBI VOLCANO, GALLA LAKES REGION","7.17","7.17","38.45","38.45","SAE","","","s_4 [20105]","PANTELLERITIC RHYOLITE [20105]","","","","QUATERNARY [20105]","","","","NON-PORPHYRITIC [20105] ","VOL","","","","","GL [20105] ","74.3","0.26","","9.35","","1.28","3.34","","0.2","0.2","0.22","","4.44","5.66","","","0.32","","","","","0.25","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020053",
"[20105]","RIFT VOLCANICS","EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT / CORBETTI VOLCANIC SYSTEM","CHABBI VOLCANO, GALLA LAKES REGION","7.17","7.17","38.45","38.45","SAE","","","s_5 [20105]","PANTELLERITIC RHYOLITE [20105]","","","","QUATERNARY [20105]","","","","NON-PORPHYRITIC [20105] ","VOL","","","","","GL [20105] ","74.3","0.27","","9.44","","1.61","2.82","","0.28","0.12","0.21","","4.39","5.29","","","0.36","","","","","0.23","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020054",
"[20105]","RIFT VOLCANICS","EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT / CORBETTI VOLCANIC SYSTEM","CHABBI VOLCANO, GALLA LAKES REGION","7.17","7.17","38.45","38.45","SAE","","","s_6 [20105]","PANTELLERITIC RHYOLITE [20105]","","","","QUATERNARY [20105]","","","","NON-PORPHYRITIC [20105] ","VOL","","","","","GL [20105] ","74.3","0.27","","9.48","","1.79","2.9","","0.18","0.16","0.2","","4.48","5.52","","","0.31","","","","","0.23","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020055",
"[20105]","RIFT VOLCANICS","EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT / CORBETTI VOLCANIC SYSTEM","CHABBI VOLCANO, GALLA LAKES REGION","7.17","7.17","38.45","38.45","SAE","","","s_7 [20105]","PANTELLERITIC RHYOLITE [20105]","","","","QUATERNARY [20105]","","","","NON-PORPHYRITIC [20105] ","VOL","","","","","GL [20105] ","73.8","0.26","","9.54","","1.73","2.97","","0.23","0.19","0.23","","4.43","5.62","","","0.49","","","","","0.25","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020056",
"[20105]","RIFT VOLCANICS","EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT / CORBETTI VOLCANIC SYSTEM","CHABBI VOLCANO, GALLA LAKES REGION","7.17","7.17","38.45","38.45","SAE","","","s_8 [20105]","PANTELLERITIC RHYOLITE [20105]","","","","QUATERNARY [20105]","","","","NON-PORPHYRITIC [20105] ","VOL","","","","","GL [20105] ","74","0.27","","9.46","","1.91","2.65","","0.25","0.23","0.21","","4.41","5.42","","","0.3","","","","","0.25","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020057",
"[20105]","RIFT VOLCANICS","EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT / CORBETTI VOLCANIC SYSTEM","CHABBI VOLCANO, GALLA LAKES REGION","7.17","7.17","38.45","38.45","SAE","","","s_11 [20105]","PANTELLERITIC RHYOLITE [20105]","","","","QUATERNARY [20105]","","","","NON-PORPHYRITIC [20105] ","VOL","","","","","GL [20105] ","74.1","0.29","","9.62","","1.76","2.84","","0.2","0.2","0.22","","4.37","5.53","","","0.29","","","","","0.25","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020058",
"[20105]","RIFT VOLCANICS","EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT / CORBETTI VOLCANIC SYSTEM","CHABBI VOLCANO, GALLA LAKES REGION","7.17","7.17","38.45","38.45","SAE","","","s_12 [20105]","PANTELLERITIC RHYOLITE [20105]","","","","QUATERNARY [20105]","","","","NON-PORPHYRITIC [20105] ","VOL","","","","","GL [20105] ","74.9","0.27","","9.46","","1.53","2.87","","0.2","0.17","0.22","","4.47","5.49","","","0.4","","","","","0.25","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020059",
