"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4683]","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / RAROTONGA","","-21.25","-21.25","-159.75","-159.75","SAE","","","s_R49 [4683]","PHONOLITE [4683]","1000000 [4683]","2000000 [4683]","","PLEISTOCENE [4683]","","","","","VOL","","","","","WR [4683] ","46.56","1.45","","18.83","","","","5.8","5.55","1.58","0.31","","4.28","8.34","0.43","","","","","","","","","","","","","","","","5.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111","8","","","","31","","","40","","","","","121","2726","43","1168","337.7","","","","","","","","","","","","","1886","","409.3","","","","","","","","","","","","","","","","","","","","","","","36","","47.55","9.68","","","","","","","","","","","","","","","","","","","","","","","","","100054",
"[4683]","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / RAROTONGA","","-21.25","-21.25","-159.75","-159.75","SAE","","","s_R25 [4683]","PHONOLITE [4683]","1000000 [4683]","2000000 [4683]","","PLEISTOCENE [4683]","","","","","VOL","","","","","WR [4683] ","51.74","0.71","","21.05","","","","4.12","3.01","0.55","0.24","","5.27","10.44","0.14","","","","","","","","","","","","","","","","1.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","59","4","","","","31","","","38","","","","","158","2251","31","1075","262.3","","","","","","","","","","","","","1764","140.37","220.75","19.24","58.07","8.06","2.52","7.633","0.93","5.57","1.11","3.13","0.47","2.87","","17.53","","","","","","","","","","35","","50.41","10.41","0.5127","","","0.7043","","","","","","","","","","","","","","","","","","","","","100055",
"[4683]","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / RAROTONGA","","-21.25","-21.25","-159.75","-159.75","SAE","","","s_R123 [4683]","PHONOLITE [4683]","1000000 [4683]","2000000 [4683]","","PLEISTOCENE [4683]","","","","","VOL","","","","","WR [4683] ","50.33","0.98","","21.15","","","","4.7","3.14","0.89","0.24","","5.19","9.47","0.17","","","","","","","","","","","","","","","","2.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","80","5","","","","30","","","43","","","","","169","1937","39","1190","320.5","","","","","","","","","","","","","1578","152.01","246.42","22.37","68.15","10.14","3.02","8.728","1.11","6.81","1.33","3.51","0.52","3.13","","17.29","","","","","","","","","","36","","57.86","6.06","0.5127","","","0.7045","","","","","","","","","","","","","","","","","","","","","100056",
"[4683]","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / RAROTONGA","","-21.25","-21.25","-159.75","-159.75","SAE","","","s_R137 [4683]","PHONOLITE [4683]","1000000 [4683]","2000000 [4683]","","PLEISTOCENE [4683]","","","","","VOL","","","","","WR [4683] ","51.48","0.71","","21.04","","","","3.99","2.62","0.5","0.26","","5.51","10.31","0.11","","","","","","","","","","","","","","","","2.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","2","","","","27","","","43","","","","","159","1820","30","1267","291.1","","","","","","","","","","","","","1588","","240.63","","","","","","","","","","","","","","","","","","","","","","","33","","46.52","9.86","","","","","","","","","","","","","","","","","","","","","","","","","100060",
"[4683]","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / RAROTONGA","","-21.25","-21.25","-159.75","-159.75","SAE","","","s_R68 [4683]","PHONOLITE [4683]","1000000 [4683]","2000000 [4683]","","PLEISTOCENE [4683]","","","","","VOL","","","","","WR [4683] ","57.52","0.44","","19.99","","","","3.61","2.84","0.3","0.24","","5.06","8.05","0.07","","","","","","","","","","","","","","","","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145","1427","29","852","173.9","","","","","","","","","","","","","1537","131.08","217.18","19.68","59.84","8.14","2.6","5.74","0.92","5.18","1.02","2.97","0.41","2.76","","16.25","","","","","","","","","","20","","25.45","5.38","","","","","","","","","","","","","","","","","","","","","","","","","100061",
"[4683]","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / RAROTONGA","","-21.25","-21.25","-159.75","-159.75","SAE","","","s_R114 [4683]","PHONOLITE [4683]","1000000 [4683]","2000000 [4683]","","PLEISTOCENE [4683]","","","","","VOL","","","","","WR [4683] ","56.73","0.38","","20.21","","","","3.44","3.1","0.48","0.23","","5.43","6.47","0.06","","","","","","","","","","","","","","","","2.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143","1633","26","797","162.9","","","","","","","","","","","","","1730","127.18","213.82","19.04","58.76","8.03","2.43","5.47","0.87","5.11","0.97","2.89","0.42","2.57","","15.6","","","","","","","","","","19","","25.03","5.2","0.5127","","","0.7041","","","","","","","","","","","","","","","","","","","","","100063",
"[19991]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / ENRAMADA UNIT","","28.3","28.3","-16.6","-16.6","SAE","","","s_001 [19991]","PHONOLITE [19991]","","","","","","","","","VOL","","","","","WR [19991] ","62.45","0.8","","17.34","","","","2.86","0.78","0.63","0.16","","5.35","7.58","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","27","3","","","4","6","20","83","","","","","","64","10","30","320","86","","","","","","","","","","","","","351","75","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","","","","","","","","","","","","","","","","","","","","","","","","","1006931",
"[19991]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / ENRAMADA UNIT","","28.3","28.3","-16.6","-16.6","SAE","","","s_002 [19991]","PHONOLITE [19991]","","","","","","","","","VOL","","","","","WR [19991] ","62.87","0.82","","17.38","","","","2.96","1.49","0.6","0.17","","5.43","7.62","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","32","3","","","4","8","6","92","","","","","","71","11","35","371","98","","","","","","","","","","","","","222","85","","","","","","","","","","","","","","14","","","","","","","","","","","","8","1","","","","","","","","","","","","","","","","","","","","","","","","","1006932",
"[19991]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / ENRAMADA UNIT","","28.3","28.3","-16.6","-16.6","SAE","","","s_007 [19991]","PHONOLITE [19991]","","","","","","","","","VOL","","","","","WR [19991] ","63.58","0.82","","17.73","","","","2.9","0.8","0.58","0.16","","5.37","7.78","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","32","1","","","2","5","1","87","","","","","","68","9","32","335","90","","","","","","","","","","","","","388","83","","","","","","","","","","","","","","12","","","","","","","","","","","","8","0","","","","","","","","","","","","","","","","","","","","","","","","","1006933",
"[19991]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / ADEJE UNIT","","28.3","28.3","-16.6","-16.6","SAE","","","s_009 [19991]","PHONOLITE [19991]","","","","","","","","","VOL","","","","","WR [19991] ","62","0.92","","17.96","","","","3.33","1.57","0.98","0.18","","4.19","7.95","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","29","0","","","4","16","18","105","","","","","","71","239","37","446","108","","","","","","","","","","","","","1558","80","","","","","","","","","","","","","","","","","","","","","","","","","","9","1","","","","","","","","","","","","","","","","","","","","","","","","","1006934",
