"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE I","40.84568","40.84568","14.39241","14.39241","SAE","256","256","s_L1 [20059]","PHONOLITIC-TEPHRITE [20059]","","","","","","","","","VOL","","","","","WR [20059] ","51.6","0.96","","17.95","","","","6.67","8.06","4.26","0.12","","6","2.24","0.68","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","214","","","","23.6","19.1","60","52","17","","","","","263","843","24.3","217.1","35.9","","","","","","","","","","","","12.6","1605","42.6","91.5","11","44.9","8.46","1.96","6.45","0.94","4.67","0.82","2.21","0.34","1.94","0.31","5.7","1.9","","","","","","","","","50.8","","20.8","8.7","","","","","","","","","","","","","","","","","","","","","","","","","1021558",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE I","40.84568","40.84568","14.39241","14.39241","SAE","256","256","s_V1 [20059]","PHONOLITIC-TEPHRITE [20059]","","","","","","","","","VOL","","","","","WR [20059] ","50.22","0.89","","16.45","","","","6.85","9.26","5.85","0.12","","5.99","2.01","0.67","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","217","","","","28.5","25.4","81","29","15.8","","","","","275","874","24.2","181.1","27","","","","","","","","","","","","13.9","1741","41.3","90.6","10.7","42.2","8.36","1.97","6.72","0.97","4.39","0.88","2.27","0.34","2.09","0.3","4.3","1.4","","","","","","","","","18.3","","15.7","4.8","","","","","","","","","","","","","","","","","","","","","","","","","1021559",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE I","40.84568","40.84568","14.39241","14.39241","SAE","256","256","s_L1E [20059]","PHONOLITIC-TEPHRITE [20059]","","","","","","","","","VOL","","","","","WR [20059] ","50.74","0.86","","17.26","","","","6.36","8.51","5.14","0.13","","6.85","2.03","0.59","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","200","","","","25.4","28.7","74","34","17.4","","","","","314","717","19.7","166.6","23","","","","","","","","","","","","20","1587","37","72.7","8.66","35.2","6.64","1.72","6.04","0.71","3.75","0.72","1.78","0.25","1.54","0.23","3.7","1.2","","","","","","","","","7.7","","13.9","4.4","","","","","","","","","","","","","","","","","","","","","","","","","1021562",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE II","40.84454","40.84454","14.39352","14.39352","SAE","282","282","s_VX [20059]","PHONOLITIC-TEPHRITE [20059]","","","","","","","","","VOL","","","","","WR [20059] ","47.69","0.98","","17.71","","","","7.67","9.55","4.15","0.15","","6.28","2.74","0.81","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","229","","","","28.2","7","27","35","17.5","","","","","260","1129","27.9","184.4","29.6","","","","","","","","","","","","17.5","2336","53.3","114.9","13.6","52","10.55","2.54","8.12","1.16","5.32","0.95","2.67","0.37","2.24","0.32","4.4","1.7","","","","","","","","","64.7","","21","7.1","","","","","","","","","","","","","","","","","","","","","","","","","1021566",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR / NORTH(WESTERN) MADAGASCAR / NOSY KOMBA ARCHIPELAGO","","-12.2","-12.2","49.27","49.27","SAE","","","s_RT-05NK-29B2 [20197]","PHONOLITIC-TEPHRITE [20197]","","","","CENOZOIC [20197]","","","","","VOL","","","","","WR [20197] ","48.55","1.82","","18.76","","","","7.48","7","2.84","0.15","","3.18","6.69","0.79","","","","","","","","","","","","","","","","1.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","0","","","","9","","89","","","","","","95","842","28","353","85","","","","","","","","","","","","","864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028055",
"[20288]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / TENDUREK","","39.2","39.2","44","44","SAE","","","s_08-118 [20288]","PHONOLITIC-TEPHRITE [20288]","","","","QUATERNARY [20288]","","","","","VOL","","","","","WR [20288] ","51.66","2.19","","16.99","","","","9.1","6.54","1.33","0.24","","3.15","6.35","0.48","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","47","","","","12.4","0.4","4.9","118","21.9","","1.7","0","","83.6","671.4","58.6","365.7","34.9","2.7","","","","0","0.1","","3","0","","","2.5","620","57.6","118.6","13.57","55","10.32","2.82","9.85","1.59","9.28","1.88","5.38","0.87","5.71","0.83","7.6","2.1","0.8","","","","","0","0","0.3","12.7","0","9.9","3.4","","","","","","","","","","","","","","","","","","","","","","","","","1044993",
"[4795]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA","RIDGE NORTH OF HOYO NEGRO CRATER","28.5","28.5","-18","-18","SAE","1270","1270","s_WHJ9254 [4795]","PHONOLITIC-TEPHRITE [4795]","","","","HOLOCENE [4795]","","","1949","","VOL","","","","","WR [4795] ","47.14","3.13","","15.76","","","","10.06","8.5","5.51","0.21","","2.49","5.19","0.83","0.36","","","","","","","","","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221","115","","","39","77","60","137","26","","","","","70","1572","37","549","164","","","","","","","","","","","","","940","155","238","24","84","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105264",
"[4795]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA","100 M W OF HOYO NEGRO CRATER","28.5","28.5","-18","-18","SAE","1270","1270","s_KLA1509 [4795]","PHONOLITIC-TEPHRITE [4795]","","","","HOLOCENE [4795]","","","1949","","VOL","","","","","WR [4795] ","46.03","3.16","","17.08","","","","9.29","8.84","3.3","0.24","","2.7","6.01","1.07","0.27","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219","0","","","22","8","27","131","21","","","","","78.87","1594","51.28","453","122","","","","","","","","","","","","","865","134.2","244.5","26.94","96.57","16.4","4.68","13.6","1.75","8.74","1.58","4.1","0.53","3.3","0.45","9.86","7.02","","","","","","","","","7.87","","16.63","4.21","","","","","","","","","","","","","","","","","","","","","","","","","105265",
"[4795]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA","200 M NNW OF HOYO NEGRO CRATER","28.5","28.5","-18","-18","SAE","1270","1270","s_HUS251921 [4795]","PHONOLITIC-TEPHRITE [4795]","","","","HOLOCENE [4795]","","","1949","","VOL","","","","","WR [4795] ","45.38","3.09","","16.13","","","","9.69","8.89","3.57","0.24","","2.69","6.07","1.14","0.31","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209","21","","","16","15","35","142","25","","","","","78.63","1892","40.89","614","185","","","","","","","","","","","","","1034","145.1","264.8","31.19","111.9","18.62","5.05","13.73","1.9","9.58","1.69","4.48","0.58","3.68","0.53","13.24","9.33","","","","","","","","","9.46","","18.44","5.23","","","","","","","","","","","","","","","","","","","","","","","","","105266",
"[4795]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA","HOYO NEGRO CRATER RIM","28.5","28.5","-18","-18","SAE","1270","1270","s_KLA1517 [4795]","PHONOLITIC-TEPHRITE [4795]","","","","HOLOCENE [4795]","","","1949","","VOL","","","","","WR [4795] ","45.41","3.52","","15.32","","","","10.87","9.01","6.18","0.23","","2.38","4.89","0.89","0.42","","","","","","","","","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257","127","","","51","84","71","141","26","","","","","58","1618","43","495","150","","","","","","","","","","","","","849","138","240","25","87","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105267",
"[4846]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / DIEGO HERNANDEZ FORMATION","CALDERA WALL","28.3","28.3","-16.6","-16.6","SAE","","","s_DH97-19A [4846]","PHONOLITIC-TEPHRITE [4846]","","","","QUATERNARY [4846]","","","","","VOL","","","","","WR [4846] ","51.07","2.58","","17.35","","","","8.34","7.49","5.03","0.19","","2.19","5.24","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5","","199","127","","","","59","34","113","24","","","","","41","706","35","505","155","","","","","","","","","","","","0.83","456","87","146","14.4","52","9.97","2.95","8.28","1.25","6.88","1.31","3.33","0.46","2.82","0.42","11.4","9","","","","","","","","","6.9","","11.3","3.1","","","","","","","","","","","","","","","","","","","","","","","","","105393",
"[4846]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / DIEGO HERNANDEZ FORMATION","CALDERA WALL","28.3","28.3","-16.6","-16.6","SAE","","","s_DH97-19B [4846]","PHONOLITIC-TEPHRITE [4846]","","","","QUATERNARY [4846]","","","","","VOL","","","","","WR [4846] ","50.98","2.42","","17.15","","","","8.35","7.1","4.73","0.18","","2.98","5.6","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5","","194","128","","","","59","30","114","24","","","","","75","690","35","517","155","","","","","","","","","","","","0.87","439","89","147","14.3","51","9.73","2.82","8.1","1.22","6.8","1.27","3.21","0.46","2.77","0.41","11.1","8.9","","","","","","","","","8.1","","11.5","3","","","","","","","","","","","","","","","","","","","","","","","","","105394",
"[20388]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / SIBERIA_PALEOZOIC / MINUSA (MINUSINSK) TROUGH","KAMYSHTA RIVER","53","56","90","92","SAE","","","s_KMSH 1/2 [20388]","PHONOLITIC-TEPHRITE [20388]","","","","DEVONIAN [20388]","","","","","VOL","","","","","WR [20388] ","51.2","1.18","","17.55","","","","9.12","4.25","3.24","0.14","","1.87","6.71","0.44","","","","","","","","","","","","","","","","3.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6","1455","22.8","129","8.49","","","","","","","","","","","","","1424","30.9","62.4","7.8","32.9","6.03","1.59","5.3","0.71","3.93","0.89","2.33","0.36","2.16","0.32","3.16","0.42","","","","","","","","","14.5","","2.9","1.11","","","","","","","","","","","","","","","","","","","","","","","","","1058238",
"[20388]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / SIBERIA_PALEOZOIC / MINUSA (MINUSINSK) TROUGH","UIBAT RIVER","53","56","90","92","SAE","","","s_UIB 1/1 [20388]","PHONOLITIC-TEPHRITE [20388]","","","","DEVONIAN [20388]","","","","","VOL","","","","","WR [20388] ","52.4","1.03","","17.83","","","","7.21","5.73","3.56","0.15","","2.27","5.73","0.45","","","","","","","","","","","","","","","","2.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.9","1571","23.8","292","19.55","","","","","","","","","","","","","1237","37.4","80.8","9.7","41.1","7.59","2.05","6.6","0.89","5.33","1.06","3","0.41","2.72","0.44","6.06","1.41","","","","","","","","","12","","6","2.18","","","","","","","","","","","","","","","","","","","","","","","","","1058241",
