"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20287]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT","SARMINSKY TERRANE","54","54","108","108","SAE","","","s_87/14 [20287]","PHOSCORITE [20287]","","","","PROTEROZOIC [20287]","","","","","PLU","","","","","WR [20287] ","19.51","10","","2.53","","25.87","12.36","","6.19","14.83","0.36","","0.72","0.05","1.11","","","0.27","","0.58","","0.35","","","","","","","","","5.1","","","","","","","","","","","","","","18","","","","","","","","","","","","","","21","","270","920","","","71","320","86","280","","","","","","25","427","34","487","223","","","","","","","","","","","","","1179","223","521","60.9","237","42.2","10.3","22.6","2.93","11.4","1.61","2.95","0.32","1.62","0.2","12.7","21","","","","","","","","","4.3","","26","5.9","","","","","","","","","","","","","","","","","","","","","","","","","1044800",
"[20287]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT","SARMINSKY TERRANE","54","54","108","108","SAE","","","s_89/12 [20287]","PHOSCORITE [20287]","","","","PROTEROZOIC [20287]","","","","","PLU","","","","","WR [20287] ","26.72","5.78","","3.88","","10.73","6.17","","17.21","13.92","0.26","","1.29","0.08","1.69","","","0.26","","7.48","","0.4","","","","","","","","","3.95","","","","","","","","","","","","","","22","","","","","","","","","","","","","","26","","460","650","","","82","360","138","97","","","","","","40","1300","50","680","230","","","","","","","","","","","","","4000","","","","","","","","","","","","","","","","15","","","","","","","","","10","","22","5.3","","","","","","","","","","","","","","","","","","","","","","","","","1044801",
"[20287]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT","SARMINSKY TERRANE","54","54","108","108","SAE","","","s_228/13 [20287]","PHOSCORITE [20287]","","","","PROTEROZOIC [20287]","","","","","PLU","","","","","WR [20287] ","27.98","4.14","","1.56","","13.11","10.8","","20.12","10.11","0.14","","0.04","0.2","4.38","","","0.16","","5.32","","0.48","","","","","","","","","1.97","","","","","","","","","","","","","","14","","","","","","","","","","","","","","25","","310","260","","","50","110","67","175","","","","","","1.5","773","77","965","210","","","","","","","","","","","","","44","285","661","82.4","330","57.7","15.2","44.4","5.08","21.8","3.2","6.36","0.72","3.76","0.48","19.2","12","","","","","","","","","7","","33","3.5","","","","","","","","","","","","","","","","","","","","","","","","","1044802",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1104-15 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","6.23","0.038","","0.36","","","","42.96","12.11","10.91","2.669","","0.06","0.09","4.76","","","","","0","","0","0","","","","","","","0","10.22","","","","","","","","","","","","","","","0","","","","","","","","","","","","","3","","12","0","","","51","0","30","210","9","2.2","0","","","2","6011","63.1","9","","0","","","","0","0","0","4","0","","","0.5","16","421","1000","117","433","63","15.6","38","3.95","17","2.56","5.44","0.581","2.78","0.357","0.7","1.13","1.9","","","","","0","","0","10","0","5.91","0.98","","","","","","","","","","","","","","","","","","","","","","","","","1082713",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1103-6 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","6.53","0.018","","0.43","","","","42.96","14.15","8.8","2.043","","0.03","0.07","5","","","","","10.9","","0.32","0","","","","","","","0.527","9.22","","","","","","","","","","","","","","","0","","","","","","","","","","","","","2","","24","8","","","26","6","47","193","10","2","4.1","","","1","5853","59.5","11","","4","","","","1.8","1.2","0","8","0","","","0.2","16","349","902","106","416","61.8","16.7","39.2","4.19","17","2.48","5.69","0.56","2.76","0.356","0.5","1.24","0","","","","","0.003","","0","16","0.1","1.44","0.44","","","","","","","","","","","","","","","","","","","","","","","","","1082714",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_CC-1(KOR) [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","7.86","0.011","","0.2","","","","35.79","16.97","8.39","1.979","","0.02","0.08","8.35","","","","","0","","0.86","0","","","","","","","0.569","11.15","","","","","","","","","","","","","","","0","","","","","","","","","","","","","2","","28","0","","","31","3","27","109","15","3.3","12","","","0","7114","114","12","","0","","","","0","2.2","0","5","0.3","","","0.2","19","688","1710","199","780","113","27.6","68.3","7.42","31.7","4.67","10.3","1","4.84","0.596","0.6","1.82","3.9","","","","","0","","0","14","0.5","1.35","1.01","","","","","","","","","","","","","","","","","","","","","","","","","1082715",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1103-12 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","11.32","0.015","","0.53","","","","29.65","18.6","11.03","2.563","","0.17","0.16","8.58","","","","","10.7","","0.65","0","","","","","","","0.438","8.97","","","","","","","","","","","","","","","0","","","","","","","","","","","","","2","","20","0","","","23","4","23","168","13","3.1","0","","","4","9255","116","15","","0","","","","2","1.3","0","6","0","","","0.8","53","699","1570","189","727","105","29","66.8","7.5","31.1","4.74","11.4","1.2","6.27","0.796","0.7","1.17","0","","","","","0","","0","26","0.4","11.2","1.42","","","","","","","","","","","","","","","","","","","","","","","","","1082716",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1102-5B [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","15.78","0.022","","0.71","","","","27.82","17.45","11.99","2.734","","0.27","0.12","3.46","","","","","13.3","","0.39","0","","","","","","","0.973","10.49","","","","","","","","","","","","","","","0","","","","","","","","","","","","","4.8","","22","6","","","44","9","76","177","10","2.3","0","","","7","9221","72.7","14","138","100","","","","2.5","1.4","0","13","0","","","2","11","329","727","76.4","275","40.6","11.6","26.8","3.35","15.7","2.65","6.66","0.873","4.88","0.7","1","0.18","0","","","","","0","","0.05","15","0.2","1.39","0.17","","","","","","","","","","","","","","","","","","","","","","","","","1082717",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1106-12 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","15.92","0.065","","0.81","","","","36.42","15","10.62","2.384","","0.44","0.17","2","","","","","0","","0","0","","","","","","","0","4.85","","","","","","","","","","","","","","","0","","","","","","","","","","","","","5","","20","0","","","35","0","40","220","14","2.2","0","","","14","8696","47.4","12","294","0","","","","0","0","0","8","0","","","0.3","238","266","595","68","248","35.5","9.41","23","2.51","11.2","1.8","4.43","0.494","2.8","0.363","0.9","1.02","0","","","","","0","","0.07","16","0","1.28","0.41","","","","","","","","","","","","","","","","","","","","","","","","","1082718",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1102-5A [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","17.42","0.031","","0.82","","","","34.71","12.78","11.3","2.892","","0.44","0.14","9","","","","","0","","0.78","0","","","","","","","1.6","3.58","","","","","","","","","","","","","","","0","","","","","","","","","","","","","4.7","","28","33","","","41","10","110","197","13","2.7","8.5","","","7","7178","102","14","194","100","","","","1.9","0.9","0.1","18","0","","","1.1","21","534","1140","125","454","68.1","19.3","45","5.5","25.2","4.03","9.84","1.12","5.92","0.767","1.2","0.43","2","","","","","0","","0.11","14","0.5","5.49","1.49","","","","","","","","","","","","","","","","","","","","","","","","","1082719",
