"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE / RUSSIA / DREDGE 22","","59.615","59.615","-178.82","-178.82","SAQ","-1500","-2200","s_22-10 [16383]","RHYODACITE [16383]","","","","EOCENE [16383]","","","","","VOL","","","","","WR [16383] ","71.5","0.2","","16.1","","0.44","0.82","","2.48","0.94","0.02","","1.32","6.11","0.07","","0.42","0.1","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","3.4","","","","","","","2.2","","16","827","5","78","0","","","","","","","","","","","","","269","5","11","","6","1.5","0.4","","0.15","","","","","0.3","0.04","2.2","0.15","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","1001640",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE / RUSSIA / DREDGE 22","","59.615","59.615","-178.82","-178.82","SAQ","-1500","-2200","s_22-11 [16383]","RHYODACITE [16383]","","","","EOCENE [16383]","","","","","VOL","","","","","WR [16383] ","71.1","0.2","","15.8","","0.61","1.16","","2.47","1.08","0.02","","1.37","6.03","0.07","","1.25","0.14","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","3.3","","","","","","","1.5","","20","832","5","79","0","","","","","","","","","","","","","280","4","10","","6","1.4","0.4","","0.12","","","","","0.2","0.03","2.3","0.16","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1001641",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / SIMUSHIR / ZAVARITSKII","","46.93","46.93","151.95","151.95","SAE","","","s_5 [3052]","RHYODACITE [3052]","","","","","","","","","VOL","","","","","WR [3052] ","70.19","0.66","","13.84","","0.79","1.67","","3.03","0.67","0.09","","0.78","4.01","0.58","","3.47","0.04","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101294",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / PARAMUSHIR / KARPINSKII(KARPINSKY)","","50","50.8","154.5","156","SAE","","","s_9 [3052]","RHYODACITE [3052]","","","","","","","","","VOL","","","","","WR [3052] ","70.46","0.4","","14.34","","0.74","1.27","","2.7","0.62","0.09","","2.09","4.73","","","2.83","0.08","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101298",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / KUNASHIR / GOLOVNIN","CALDERA","43.88","43.88","145.53","145.53","SAE","","","s_10 [3052]","RHYODACITE [3052]","","","","","","","","","VOL","","","","","WR [3052] ","70.44","0.82","","14.61","","1.55","1.35","","2.9","0.7","0.12","","0.63","3.91","0.49","","2.75","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101299",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / KUNASHIR / GOLOVNIN","CALDERA","43.88","43.88","145.53","145.53","SAE","","","s_5 [3052]","RHYODACITE [3052]","","","","","","","","","VOL","","","","","WR [3052] ","68.77","0.52","","14.33","","0.92","2.98","","1.17","3.29","0.09","","1.41","2.5","0.17","","2.99","0.43","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101325",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / PARAMUSHIR / EBEKO","","50.68","50.68","156","156","SAE","","","s_11 [3052]","RHYODACITE [3052]","","","","","","","","","VOL","","","","","WR [3052] ","68.49","0.28","","12.62","","1.43","1.14","","2.61","1.1","0.06","","1.62","3.67","0.13","","3.41","3.42","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101331",
"[20174]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / PONTIDES","ORDU AREA, EASTERN PONTIDES","41","41","37","37","SAE","","","s_R1 [20174]","RHYODACITE [20174]","","","UPPER [20174]","CRETACEOUS [20174]","","","","","VOL","","","","","WR [20174] ","67.5","0.25","","15.05","","","","2.2","1.39","0.84","0.06","","5.89","3.38","0.09","","","","","","","","","","","","","","","","3.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","0","","","3.5","0","","43","13.9","","","","","174.5","321","19.9","147","8.9","","","","","","","","","","","","1.32","612","33.4","59.5","6.61","22.6","4.26","0.91","4.03","0.61","3.28","0.7","2.22","0.34","2.35","0.38","4.1","0.7","3","","","","","","","0.6","23","","19.6","4.3","0.51253","","","0.707622","","","","","","","","","","","","","","","","","","","","","1026413",
"[20174]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / PONTIDES","ORDU AREA, EASTERN PONTIDES","41","41","37","37","SAE","","","s_R2 [20174]","RHYODACITE [20174]","","","UPPER [20174]","CRETACEOUS [20174]","","","","","VOL","","","","","WR [20174] ","65.4","0.24","","14.85","","","","2.11","1.26","0.84","0.06","","5.89","3.2","0.08","","","","","","","","","","","","","","","","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","0","","","3.4","0","","35","13.1","","","","","186.5","261","18.3","133","8.4","","","","","","","","","","","","2.11","692","31.5","57.5","6.32","21.8","3.98","0.88","3.86","0.57","3.03","0.65","2.03","0.31","2.12","0.36","3.7","0.7","4","","","","","","","0.7","21","","18.6","4.43","","","","","","","","","","","","","","","","","","","","","","","","","1026414",
"[20174]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / PONTIDES","ORDU AREA, EASTERN PONTIDES","41","41","37","37","SAE","","","s_R3 [20174]","RHYODACITE [20174]","","","UPPER [20174]","CRETACEOUS [20174]","","","","","VOL","","","","","WR [20174] ","77.6","0.1","","13","","","","1.03","0.12","0.41","0.02","","3.43","0","0","","","","","","","","","","","","","","","","3.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","","","1.3","0","","15","10.9","","","","","84.7","34.2","10.8","86","8.5","","","","","","","","","","","","2.84","25.2","33.8","55.9","5.82","18.8","2.76","0.38","2.37","0.31","1.74","0.39","1.37","0.22","1.64","0.28","3","0.8","5","","","","","","","0","0","","23.7","2.91","","","","","","","","","","","","","","","","","","","","","","","","","1026415",
