"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-44 [20101]","SHOSHONITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","53.26","1.1","","18.09","","","","6.96","7.27","2.67","0.11","","2.24","4.15","0.3","","","","","","","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","170","13.69","","","36.9","10.4","22","54","19.1","","","","","50.5","668.1","21.9","197.2","22.1","","","","","","","","","","","","1.2","351","29.6","53.5","5.78","22.4","4.29","1.32","4.45","0.68","3.96","0.76","2.33","0.34","2.21","0.37","4.2","1.7","148.6","","","","","","","","","","6.8","1.8","","","","","","","","","","","","","","","","","","","","","","","","","1019333",
"[20056]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO","ARANDAS-ATOTONILCO AREA","20.71667","20.71667","-102.2383","-102.2383","SAE","","","s_JAL02 [20056]","SHOSHONITE [20056]","","","","","","","","","VOL","","","","","WR [20056] ","51.44","1.28","","17.89","","","","8.31","7.77","5.08","0.155","","1.72","3.53","0.511","","","","","","","","","","","","","","","","0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4","59.1","7.56","31.1","5.83","1.88","5.71","0.96","","0.91","2.46","0.35","2.31","0.31","","","","","","","","","","","","","","","0.512935","","","0.703458","","","","","","","","","","","","","","","","","","","","","1023884",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-1 [19990]","SHOSHONITE [19990]","","","","","","","","","VOL","","","","","WR [19990] ","55.06","1.11","","15.99","","","","6.31","7.41","5.89","0.12","","3.17","3.44","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5","","173","203","","","43","79","42","","20","","","","","65.4","1315","18.97","384","9.45","","","","","","","","","","","","1.52","952","30.4","64.51","8.56","33.45","5.95","1.68","5.09","0.64","3.35","0.63","1.65","0.26","1.55","0.25","","","","","","","","","","","19.2","","8.64","2.33","0.51285","","","0.703683","","","","","","","","","","","","","","","","","","","","","1024311",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-27D [19990]","SHOSHONITE [19990]","","","","","","","","","VOL","","","","","WR [19990] ","54.95","1.12","","16.43","","","","6.08","6.83","5.24","0.12","","3.33","3.47","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","161","203","","","51","103","45","","20","","","","","72","1244","19.5","405","9.55","","","","","","","","","","","","1.81","927","30.02","64.44","8.61","33.45","5.97","1.66","5.13","0.66","3.44","0.65","1.69","0.27","1.61","0.26","","","","","","","","","","","18.21","","7.62","2.09","0.51286","","","0.703705","","","","","","","","","","","","","","","","","","","","","1024312",
"[20172]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / VULCANO / VULCANELLO","VULCANELLO PENINSULA, 1100-1250 AD ERUPTION","38.404","38.404","14.962","14.962","SAE","","","s_VUL [20172]","SHOSHONITE [20172]","","","","","","","","","VOL","","","","","WR [20172] ","54.07","0.72","","15.87","","","","6.72","9.22","3","0.17","","4.87","3.85","0.43","","","","","","","","","","","","","","","","0.33","","","","","","","","","","","","","","27.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140.09","1313","23.98","153","19.57","","","","","","","","","","","","6.18","1006","57.55","106.2","12.44","44.19","8.64","1.66","7.4","0.94","4.62","0.84","2.21","0.31","2.1","0.3","4.24","1.03","","","","","","","","","30.39","","23.43","5.79","","","","0.704666","","19.431","","15.695","","39.349","","","","","","","","","","","","","","","1027500",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR201 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","49.09","0.96","","17.19","","4.28","4.8","","11.35","5.93","0.17","","1.79","2.02","0.43","","","","","","","","","","","","","","","","1.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","","","","","24","676","26","160","19","","","","","","","","","","","","","1212","","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106685",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR150 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","51.29","0.85","","18.22","","3.8","4.03","","10.04","5.8","0.15","","2.54","2.44","0.44","","","","","","","","","","","","","","","","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","72","758","29","183","26","","","","","","","","","","","","","1109","","103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106686",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR209 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","53.93","0.86","","18.68","","7.6","","","8.46","4.51","0.14","","2.78","2.74","","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","571","29","196","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106687",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR227 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","50.29","0.96","","18.29","","9.07","","","10.22","5.92","0.17","","1.9","2.44","0.46","","","","","","","","","","","","","","","","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106688",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR157 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","50.3","0.98","","18.23","","3.47","5.03","","10.41","6.13","0.16","","2.03","2.5","0.33","","","","","","","","","","","","","","","","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","","","","","","","54","660","28","149","21","","","","","","","","","","","","","865","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106689",
