"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4683]","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / RAROTONGA","","-21.25","-21.25","-159.75","-159.75","SAE","","","s_R50 [4683]","TEPHRITE [4683]","1000000 [4683]","2000000 [4683]","","PLEISTOCENE [4683]","","","","","VOL","","","","","WR [4683] ","44.16","3.41","","17.61","","","","9.56","9.38","4.09","0.23","","3.37","3.91","0.95","","","","","","","","","","","","","","","","2.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","215","8","","","","34","","","25","","","","","77","1331","30","408","132.7","","","","","","","","","","","","","1201","","216.84","","","","","","","","","","","","","","","","","","","","","","","11","","12.47","1.7","","","","","","","","","","","","","","","","","","","","","","","","","100053",
"[19988]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / SIETE FUENTES","","28.3","28.3","-16.6","-16.6","SAE","","","s_1704 [19988]","TEPHRITE [19988]","","","","HOLOCENE [19988]","","12","1704","","VOL","","","","","WR [19988] ","44.4","3.65","","15.16","","","","12.1","10.67","7.5","0.19","","1.59","3.87","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.6","","309","195","","","","103","60.2","117","20.1","","","","","33.3","953","26.7","284","71.3","","","","","","","","","","","","","500","51.7","104","","52","","","","","","","","","","","","","","","","","","","","","3.9","","7.5","2.2","","","","","","","","","","","","","","","","","","","","","","","","","1002844",
"[19988]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / FASNIA","","28.3","28.3","-16.6","-16.6","SAE","","","s_1705 [19988]","TEPHRITE [19988]","","","","HOLOCENE [19988]","","1","1705","","VOL","","","","","WR [19988] ","44.4","3.7","","14.99","","","","12.1","10.67","7.7","0.19","","1.54","3.82","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3","","308","206","","","","111","58.2","119","20.8","","","","","32.7","949","26.8","283","70.8","","","","","","","","","","","","","493","54.5","102","","52.8","","","","","","","","","","","","","","","","","","","","","2.3","","5","1.9","","","","","","","","","","","","","","","","","","","","","","","","","1002845",
"[19988]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / ARAFO","","28.3","28.3","-16.6","-16.6","SAE","","","s_1705 [19988]","TEPHRITE [19988]","","","","HOLOCENE [19988]","","2","1705","","VOL","","","","","WR [19988] ","44","3.56","","14.1","","","","12.39","10.58","9.4","0.19","","1.42","3.57","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2","","302","331","","","","180","60.9","116","20","","","","","30","883","24.8","264","65.3","","","","","","","","","","","","","457","53.3","99","","46.2","","","","","","","","","","","","","","","","","","","","","3.6","","5.2","3.8","","","","","","","","","","","","","","","","","","","","","","","","","1002846",
"[19993]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION","","28.56","28.56","-19","-19","SAE","","","s_TLP 51-3 [19993]","TEPHRITE [19993]","","","","HOLOCENE [19993]","","","1585","","VOL","","","","","WR [19993] ","46.83","3.22","","17.11","","2.13","8.5","","9.05","3.93","0.21","","2.53","5.62","0.88","0.26","","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5","","242","10.3","","","28.1","17.5","38.4","120","25.3","","","","","68.2","1621","40.1","479","144","","","","","","","","","","","","0.72","844","120","218","23.4","83.6","14.6","4.45","12.1","1.56","8.61","1.49","3.94","0.52","2.94","0.39","9.03","8.75","","","","","","","","","6.78","","11.3","3.1","0.512897","","","0.703076","","19.653","","15.592","","39.426","","","","","","","","","","","","","","","1007145",
"[19993]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION","","28.56","28.56","-19","-19","SAE","","","s_TLP 105-1 [19993]","TEPHRITE [19993]","","","","HOLOCENE [19993]","","","1585","","VOL","","","","","WR [19993] ","47.13","3.12","","17.3","","2.04","8.16","","8.76","3.85","0.21","","2.64","5.89","0.89","0.29","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2","","240","6.69","","","25.6","16.7","31.3","138","24","","","","","68","1618","37.7","502","146","","","","","","","","","","","","0.78","843","124","225","24.2","90.3","15.5","4.38","11.9","1.54","8.59","1.53","3.83","0.48","2.98","0.44","10.4","7.3","","","","","","","","","6.32","","13.3","3.44","","","","","","","","","","","","","","","","","","","","","","","","","1007146",
"[19993]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION","","28.56","28.56","-19","-19","SAE","","","s_TLP 51-3 [19993]","TEPHRITE [19993]","","","","HOLOCENE [19993]","","","1585","","VOL","","","","","WR [19993] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.98","3.37","","","","","","","","","","","","","","","","","","","","","","","","","1007164",
"[19993]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION","","28.56","28.56","-19","-19","SAE","","","s_TLP 51-3 [19993]","TEPHRITE [19993]","","","","HOLOCENE [19993]","","","1585","","VOL","","","","","WR [19993] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.71","3.3","","","","","","","","","","","","","","","","","","","","","","","","","1007165",
"[19993]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION","","28.56","28.56","-19","-19","SAE","","","s_TLP 51-3 [19993]","TEPHRITE [19993]","","","","HOLOCENE [19993]","","","1585","","VOL","","","","","WR [19993] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.73","3.33","","","","","","","","","","","","","","","","","","","","","","","","","1007166",
"[19993]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION","","28.56","28.56","-19","-19","SAE","","","s_TLP 105-1 [19993]","TEPHRITE [19993]","","","","HOLOCENE [19993]","","","1585","","VOL","","","","","WR [19993] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.13","3.47","","","","","","","","","","","","","","","","","","","","","","","","","1007167",
