"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19993]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION","","28.56","28.56","-19","-19","SAE","","","s_TLP 51-1 [19993]","TEPHRITIC-PHONOLITE [19993]","","","","HOLOCENE [19993]","","","1585","","VOL","","","","","WR [19993] ","53.46","1.63","","19.58","","1.22","4.88","","5.21","1.82","0.18","","3.75","7.83","0.44","0.31","","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.56","","116","3.16","","","10.8","6.35","12.5","121","26.6","","","","","111","1419","26.7","654","145","","","","","","","","","","","","1.44","1118","129","211","20.4","70.2","10.8","3","8.19","1.05","6.15","1.13","3.1","0.42","2.87","0.41","12.8","6.18","","","","","","","","","11.8","","22.4","6.57","","","","","","","","","","","","","","","","","","","","","","","","","1007147",
"[19993]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION","","28.56","28.56","-19","-19","SAE","","","s_TLP 51-1 [19993]","TEPHRITIC-PHONOLITE [19993]","","","","HOLOCENE [19993]","","","1585","","VOL","","","","","WR [19993] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.51","6.21","","","","","","","","","","","","","","","","","","","","","","","","","1007171",
"[19993]","OCEAN ISLAND","CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION","","28.56","28.56","-19","-19","SAE","","","s_TLP 51-1 [19993]","TEPHRITIC-PHONOLITE [19993]","","","","HOLOCENE [19993]","","","1585","","VOL","","","","","WR [19993] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.28","6.19","","","","","","","","","","","","","","","","","","","","","","","","","1007172",
"[20053]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / POZZOLANE NERE UNIT","S OF TIVOLI TOWN, 20 KM NE FROM CALDERA CENTER","41.929519","41.929519","12.761656","12.761656","SAE","","","s_PNR-PRE [20053]","TEPHRITIC-PHONOLITE [20053]","","","","QUATERNARY [20053]","","","","GLASSY, PORPHYRITIC [20053] ","VOL","","","","","WR [20053] ","52.31","0.66","","19.57","","","","7.46","5.68","2.41","0.22","","9.18","2.47","0.36","","","","","","","","","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1026109",
"[20053]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / POZZOLANE NERE UNIT","S OF TIVOLI TOWN, 20 KM NE FROM CALDERA CENTER","41.929519","41.929519","12.761656","12.761656","SAE","","","s_PNR-POST [20053]","TEPHRITIC-PHONOLITE [20053]","","","","QUATERNARY [20053]","","","","GLASSY, PORPHYRITIC [20053] ","VOL","","","","","WR [20053] ","52.09","0.7","","19.4","","","","7.53","5.82","2.37","0.21","","9.09","2.42","0.31","","","","","","","","","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1026110",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR / NORTH(WESTERN) MADAGASCAR / AMPASINDAVA PENINSULA","ANKIFY","-14","-14","48","48","SAE","","","s_RT-05A-28C [20197]","TEPHRITIC-PHONOLITE [20197]","","","","CENOZOIC [20197]","","","","","VOL","","","","","WR [20197] ","53.74","1.58","","17.89","","","","6.9","5.68","2.58","0.16","","4.25","5.33","0.53","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","25","","","","14","","87","","","","","","128","627","25","396","104","","","","","","","","","","","","","766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028077",
"[20288]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / TENDUREK","","39.2","39.2","44","44","SAE","","","s_08-117 [20288]","TEPHRITIC-PHONOLITE [20288]","","","","QUATERNARY [20288]","","","","","VOL","","","","","WR [20288] ","52.17","2.18","","17.1","","","","9.14","6.21","1.32","0.24","","3.13","6.52","0.49","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","47","","","","12.2","0.4","6.4","125","19.9","","1.8","0","","79.4","656.1","57.9","373.6","35.2","2.6","","","","0","0.1","","3","0","","","1.7","601","54.3","116","13.51","49.9","9.75","2.83","9.63","1.59","9.41","1.96","5.49","0.85","5.72","0.81","7.3","1.9","0.6","","","","","0.5","0","0.2","13.4","0","9.9","3.1","","","","","","","","","","","","","","","","","","","","","","","","","1044983",
"[20288]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / TENDUREK","","39.2","39.2","44","44","SAE","","","s_08-124 [20288]","TEPHRITIC-PHONOLITE [20288]","","","","QUATERNARY [20288]","","","","","VOL","","","","","WR [20288] ","51.84","2.17","","17.15","","","","9.3","6.14","1.27","0.24","","3.2","6.94","0.48","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","3","","","","","","","","","","","","","2","","45","","","","12.6","9.8","6.5","106","20","","1","0","","86","701.7","54.7","360.5","35.8","6.7","","","","0","0.2","","3","0","","","2.8","592","52.1","112.5","12.93","49.9","9.9","2.89","9.51","1.6","9.05","1.97","5.65","0.9","5.55","0.86","6.8","1.7","1.3","","","","","0","0","0.3","11.6","0","9.5","3.9","0.512707","","","0.705931","","19.0238","","15.6818","","39.0496","","","","","","","","","","","","","","","1044984",
"[20288]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / TENDUREK","","39.2","39.2","44","44","SAE","","","s_07-53 [20288]","TEPHRITIC-PHONOLITE [20288]","","","","QUATERNARY [20288]","","","","","VOL","","","","","WR [20288] ","54.24","1.8","","17.09","","","3.51","8.09","5.13","1.03","0.22","","3.84","6.41","0.38","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","3","","","","","","","","","","","","","2","","45","","","","9.6","0.9","6.1","116","21.8","","1.5","0.8","","88.5","476.2","52.5","359.6","37.1","3.9","","","","0","0.2","","3","0","","","2.8","889","52","109.9","12.45","46.4","9.02","2.68","9.11","1.48","8.57","1.8","5.56","0.84","5.4","0.77","7.4","1.7","1.6","","","","","1.2","0","0.4","13.9","0","10.4","4.2","","","","","","","","","","","","","","","","","","","","","","","","","1044987",
"[20288]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / TENDUREK","","39.2","39.2","44","44","SAE","","","s_07-55 [20288]","TEPHRITIC-PHONOLITE [20288]","","","","QUATERNARY [20288]","","","","","VOL","","","","","WR [20288] ","56.56","1.08","","17.95","","","3.69","6.51","3.15","0.78","0.2","","4.39","7.18","0.22","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","4","","","","","","","","","","","","","1","","15","","","","5.1","0.5","6.5","120","21.8","","1.3","0.7","","104.9","343.2","53","443","40.8","5.8","","","","0","0.2","","4","0","","","2.9","1191","57.2","113.1","12.59","45.3","8.53","2.74","8.42","1.44","8.3","1.77","5.47","0.87","5.4","0.78","9","1.7","1.6","","","","","0.7","0","0.4","16.6","0","13","5.6","","","","","","","","","","","","","","","","","","","","","","","","","1044988",
