"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4606]","CONTINENTAL FLOOD BASALT","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","QUARRY ON WEST SIDE OF ROAD FROM Y-NRIDGE TO STONYFORD, ANTRIM COUNTY, NE IRELAND","54.75","55","-5.75","-6.25","SAE","","","s_30 [4606]","THOLEIITIC ANDESITE [4606]","","","","CENOZOIC [4606]","","","","","VOL","","","","","WR [4606] ","55.8","1.27","","15.5","","7.36","3.85","","4.2","1.4","0.16","","3.03","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100423",
"[20180]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / ZEEDERBERGS FORMATION","RIVER SECTIONS","-20.25","-20.25","30","30","SAE","","","s_B-Z 6 [20180]","THOLEIITIC ANDESITE [20180]","","","","ARCHEAN [20180]","","","","","VOL","","","","","WR [20180] ","60.22","0.89","","12.53","","","","8.94","12.12","3.19","0.14","","0.1","0.77","0.11","","","","","","","","","","","","","","","","1.86","","","","","","","","","","","","","","","","","","","","","","","491.82","","","","","26.27","5011.01","226.12","54.09","","","","36.88","","","","","","","","2.58","593.68","37.61","155.78","7.18","","","","","","","","","","","","0.05","30.34","17.38","34.51","4.31","18.22","4.69","1.67","5.49","","6.06","","3.89","","3.78","0.57","4.2","0.56","","","","","","","","","9.84","","6.24","1.71","","","","","","","","","","","","","","","","","","","","","","","","","1026889",
"[12025]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / VIETNAM - CENOZOIC/QUATERNARY / XUAN LOC PLATEAU","","10.9","10.9","107.25","107.25","SAE","","","s_SL-1 [12025]","THOLEIITIC ANDESITE [12025]","","","","MIOCENE [12025]","","","","","VOL","","","","","WR [12025] ","57.58","1.02","","17.99","","","","5.74","3.37","3.18","0.11","","4.69","6.12","0.68","","0.34","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","45","","","","54","18","118","","","","","","102","1307","26","619","115","","","","","","","","","","","","","352","88.4","136.1","","59.1","10.7","1.2","","","","","","","2.3","0.3","12.9","4","","","","","","","","","","","16","","0.512716","","","0.704807","","18.24","","15.59","","38.5","","","","","","","","","","","","","","","1075794",
"[4888]","CONTINENTAL FLOOD BASALT","YELLOWSTONE-SNAKE RIVER PLAIN VOLCANIC PROVINCE / SNAKE RIVER PLAIN","CRATERS OF THE MOON LAVA FIELD, 5 KM WEST OF ENTRANCE, BUTTE COUNTY, IDAHO","43.43","43.43","-113.6","-113.6","SAE","","","s_US45 [4888]","THOLEIITIC ANDESITE [4888]","","","","","","","","","VOL","","","","","WR [4888] ","51.42","2.3","","13.87","","","","14.23","6.44","2.69","0.27","","2.52","4.02","1.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","","","","","","","","","","","","","","","","0","","","","0","42","217","30","","","","","58","296","137","1195","112","","","","","","","","","","","","","1658","126","272","27.5","124","24.1","7.09","22.6","","19.82","3.92","11.09","","10.64","1.67","23.4","5.7","","","","","","","","","25","","7.15","","","","","","","","","","","","","","","","","","","","","","","","","","108489",
"[2263]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / DABI","CAPE VOGEL PENINSULA","-9.8","-9.8","149.9","149.9","SAE","","","s_11 [2263]","THOLEIITIC ANDESITE [2263]","","","","","","","","","VOL","","","","","WR [2263] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","","","","","","","","","","","","","","","","","","","","4.3","","","","","","","","","","","","","","","","","","","","","","","","","0.51221","","","0.70376","","","","","","","","","","","","","","","","","","","","","112475",
"[20594]","CONVERGENT MARGIN","HONSHU ARC / NORTHEASTERN HONSHU ARC / HOKKAIDO / YOTEI","YOTEI 156 TEN-NOSAWALAVA","42.83","42.83","140.82","140.82","SAE","","","s_90526-2 [20594]","THOLEIITIC ANDESITE [20594]","","","","","","","","","VOL","","","","","WR [20594] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1128787",
"[20594]","CONVERGENT MARGIN","HONSHU ARC / NORTHEASTERN HONSHU ARC / OSHIMA-OSHIMA / OSHIMA-OSHIMA / NISHIYAMA UPPER LAVA","","41.5","41.5","139.37","139.37","SAE","","","s_OO2A [20594]","THOLEIITIC ANDESITE [20594]","","","","","","","","","VOL","","","","","WR [20594] ","54.41","0.81","","19.36","","","","6.92","7.6","2.72","0.14","","2.64","3.1","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1128806",
"[20594]","CONVERGENT MARGIN","HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / OSORE / TSURUGIYAMA LAVA","","41.28","41.28","141.12","141.12","SAE","","","s_OSO13 [20594]","THOLEIITIC ANDESITE [20594]","","","","","","","","","VOL","","","","","WR [20594] ","61.33","0.49","","17.95","","","","5.97","6.58","2.54","0.15","","0.53","2.93","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1128809",
"[20594]","CONVERGENT MARGIN","HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / OSORE / KAMABUSEYAMA LAVA","","41.28","41.28","141.12","141.12","SAE","","","s_T-13 [20594]","THOLEIITIC ANDESITE [20594]","","","","","","","","","VOL","","","","","WR [20594] ","60.13","0.5","","18.99","","","","5.85","6","2","0.12","","0.58","2.68","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1128810",
"[20594]","CONVERGENT MARGIN","HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / AKITA-KOMAGATAKE VOLCANIC GROUP","AKITA-KOMAGATAKE  KATAKURA","39.75","39.75","140.67","140.67","SAE","","","s_820802-01 [20594]","THOLEIITIC ANDESITE [20594]","","","","","","","","","VOL","","","","","WR [20594] ","59.42","1.01","","15.74","","","","9.19","6.95","2.74","0.23","","0.57","3.4","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1128822",
