"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5778][6395][6503]","CONVERGENT MARGIN","HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / UTSUBO PLUTON","HIDA BELT, FUNATSU GRANITIC ROCKS","36.3","36.5","137","137.3","SAE","","","s_UB01 [5778]","TONALITE [5778] / NOT GIVEN [6395] / TONALITE, HORNBLENDE [6503]","183200000 [6503]","183200000 [6503]","LOWER [6503]","MESOZOIC [5778] / JURASSIC [6503]","","","","","PLU","","","","","WR [5778] ","61.99","0.65","","17.05","","2.23","4.02","","5.88","2.52","0.12","","1.53","3.77","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","","108","48","","","","13","7","83","","","","","","31.3","650","18","121","5","","","","","","","","","","","","","512","14.3","28","","14.13","2.65","0.83","2.5","0.3","1.4","","","","1.21","0.19","","","","","","","","","","","","","3.7","0.9","","","","0.70566","0.7053","","","","","","","","","","","","","","","","","","","","102114",
"[6395][5778]","CONVERGENT MARGIN","HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / HODATSUSAN PLUTON","HIDA BELT, FUNATSU GRANITIC ROCKS","35.8","37.5","136","138","SAE","","","s_HD09 [6395]","NOT GIVEN [6395] / TONALITE [5778]","","","","MESOZOIC [6395]","","","","","PLU","","","","","WR [6395] ","59.16","1.23","","19.09","","","","5.41","5.05","1.76","0.07","","1.55","5.44","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","45","","","","14","10","123","","","","","","42.2","1213","13","196","10","","","","","","","","","","","","","551","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","0.7062","","","","","","","","","","","","","","","","","","","","","102127",
"[6503][6395]","CONVERGENT MARGIN","HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / UTSUBO PLUTON","HIDA BELT, FUNATSU GRANITIC ROCKS","36.3","36.5","137","137.3","SAE","","","s_UB03 [6503]","TONALITE, HORNBLENDE [6503] / NOT GIVEN [6395]","183200000 [6503] / 768000000 [6395]","183200000 [6503] / 768000000 [6395]","LOWER [6503] / NEO [6395]","JURASSIC [6503] / PROTEROZOIC [6395]","","","","","PLU","","","","","WR [6503] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9","698","","","","","","","","","","","","","","","","","","","","12.71","2.409","","","","","","","","","","","","","","","","","","","","","","","","0.512551","","","0.70568","","","","","","","","","","","","","","","","","","","","","102130",
"[6503][6395]","CONVERGENT MARGIN","HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / UTSUBO PLUTON","HIDA BELT, FUNATSU GRANITIC ROCKS","36.3","36.5","137","137.3","SAE","","","s_UB05 [6503]","TONALITE, HORNBLENDE [6503] / NOT GIVEN [6395]","183200000 [6503] / 950000000 [6395]","183200000 [6503] / 950000000 [6395]","LOWER [6503] / NEO [6395]","JURASSIC [6503] / PROTEROZOIC [6395]","","","","","PLU","","","","","WR [6503] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.4","612","","","","","","","","","","","","","","","","","","","","12.53","2.845","","","","","","","","","","","","","","","","","","","","","","","","0.51257","","","0.70598","","","","","","","","","","","","","","","","","","","","","102131",
"[6463][6395]","CONVERGENT MARGIN","HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / OKUMAYAMA PLUTON","NORTHEASTERN PART OF HIDA BELT","36.5","37","137.5","138","SAE","","","s_OK01 [6463]","TONALITE [6463] / NOT GIVEN [6395]","957000000 [6395]","957000000 [6395]","NEO [6395]","MESOZOIC [6463] / PROTEROZOIC [6395]","","","","","PLU","","","","","WR [6463] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9","370","","","","","","","","","","","","","","","","","","","","13.13","2.787","","","","","","","","","","","","","","","","","","","","","","","","0.51251","","","0.70575","","","","","","","","","","","","","","","","","","","","","102133",
"[6503][6395]","CONVERGENT MARGIN","HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / SHOKAWA PLUTON","HIDA BELT, FUNATSU GRANITIC ROCKS","36.4","36.8","136.5","137","SAE","","","s_OM03 [6503]","TONALITE [6503] / NOT GIVEN [6395]","922000000 [6395]","922000000 [6395]","NEO [6395]","PROTEROZOIC [6395]","","","","","PLU","","","","","WR [6503] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.4","552","","","","","","","","","","","","","","","","","","","","32.3","5.72","","","","","","","","","","","","","","","","","","","","","","","","0.512402","","","0.70796","","","","","","","","","","","","","","","","","","","","","102138",
"[5778][6395]","CONVERGENT MARGIN","HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / YATSUO PLUTON","HIDA BELT, FUNATSU GRANITIC ROCKS","35.8","37.5","136","138","SAE","","","s_YT06 [5778]","TONALITE [5778] / NOT GIVEN [6395]","129000000 [6395]","129000000 [6395]","LOWER [6395]","MESOZOIC [5778] / CRETACEOUS [6395]","","","","","PLU","","","","","WR [5778] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.4","580","","","","","","","","","","","","","","","","209","","","","19.49","4.668","","","","","","","","","","","","","","","","","","","","","","","","0.512459","","","0.70729","","","","","","","","","","","","","","","","","","","","","102139",
"[5778][6395]","CONVERGENT MARGIN","HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / HODATSUSAN PLUTON","HIDA BELT, FUNATSU GRANITIC ROCKS","35.8","37.5","136","138","SAE","","","s_HD13 [5778]","TONALITE [5778] / NOT GIVEN [6395]","122900000 [6395]","122900000 [6395]","LOWER [6395]","MESOZOIC [5778] / CRETACEOUS [6395]","","","","","PLU","","","","","WR [5778] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1","1011.1","","","","","","","","","","","","","","","","","","","","29.04","5.25","","","","","","","","","","","","","","","","","","","","","","","","0.512443","","","0.70668","","","","","","","","","","","","","","","","","","","","","102140",
"[20149]","CONTINENTAL FLOOD BASALT","WRANGELLIA / VANCOUVER ISLAND / BONANZA ARC","","50.48156","50.48156","-127.10198","-127.10198","SAE","","","s_07JST 13-1-1 [20149]","TONALITE [20149]","","","","JURASSIC [20149]","","","","","PLU","","","","","WR [20149] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512872","","","0.70477","","","","","","","","","","","","","","","","","","","","","1023632",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SAE","","","s_K04 [20191]","TONALITE [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","PLU","","","","","WR [20191] ","67.4","0.27","","17.9","","","","2.47","4.06","1.5","0.04","","0.72","5.34","0.08","","","","","","","","","","","","","","","","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.82","","48","37","","","0","12","24.9","","21","","","","","","","2.82","100","1.92","","0.0000042","","0.0000236","","","","","","","","","","18","31.3","3.38","11.37","1.605","0.741","1.2","0.13","0.639","0.114","0.296","0.0391","0.27","0.0405","3.082","","0.0786","0.0000219","0.000002976","0.00000298","0.0000683","","","","","","2.65","0.164","0.510387","","","","","","","","","","","","","","3.0763","","47.42","0.28089","","","","","","","1027199",
