"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-7 [20008]","TRACHYANDESITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","60.81","0.74","","15.39","","","","5.35","4.5","2.69","0.1","","3.58","4.07","0.28","","","","","","","","","","","","","","","","1.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7","","","","18.7","","","","","","","","97.2","767","18.4","163","11.1","","","","","","","","","","","","","1320","52.6","93.9","10.7","37.8","6.26","1.49","4.96","0.7","3.11","0.58","1.76","0.23","1.47","0.22","4.15","0.74","","","","","","","","","","","14.5","3.21","","","","","","","","","","","","","","","","","","","","","","","","","1011155",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-11 [20008]","TRACHYANDESITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","61.82","0.75","","15.47","","","","5.19","3.9","2.64","0.08","","3.65","4.21","0.27","","","","","","","","","","","","","","","","0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8","","","","18","","","","","","","","91.7","689","18.3","176","11.9","","","","","","","","","","","","","1550","55.1","98.5","11","37.6","6.4","1.39","4.9","0.7","3.18","0.58","1.72","0.22","1.41","0.21","4.3","2.46","","","","","","","","","","","14.1","2.31","","","","","","","","","","","","","","","","","","","","","","","","","1011156",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-61 [20008]","TRACHYANDESITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","58.52","0.78","","15.4","","","","6.29","4.59","3.95","0.13","","3.62","3.51","0.26","","","","","","","","","","","","","","","","1.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8","","","","28.8","","","","","","","","79.4","745","19.5","193","10","","","","","","","","","","","","","1660","40.7","72.5","8.23","28.7","5.08","1.19","4.15","0.63","3.15","0.61","1.82","0.24","1.63","0.24","4.51","0.64","","","","","","","","","","","13","2.88","","","","","","","","","","","","","","","","","","","","","","","","","1011157",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-63 [20008]","TRACHYANDESITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","59.24","0.84","","17.82","","","","6.02","4","2.32","0.11","","3.1","4.5","0.42","","","","","","","","","","","","","","","","3.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.41","","","","1.59","","","","","","","","117","552","13.7","211","10.3","","","","","","","","","","","","","1011","46.1","89.1","10.4","38.6","6.34","1.56","4.72","0.59","3.07","0.59","1.6","0.24","1.65","0.26","5.3","0.67","","","","","","","","","","","10","2.12","","","","","","","","","","","","","","","","","","","","","","","","","1011158",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-80 [20008]","TRACHYANDESITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","54.46","1.06","","16.08","","","","8.17","6.43","3.78","0.14","","2.65","3.4","0.32","","","","","","","","","","","","","","","","2.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.8","","","","18","","","","","","","","71.9","562","24.7","152","9.57","","","","","","","","","","","","","937","34","61.8","7.52","27.7","5.37","1.57","4.86","0.78","4.09","0.79","2.3","0.32","2.12","0.31","3.9","0.53","","","","","","","","","","","7.65","1.39","0.511651","","","0.71004","","","","","","","","","","","","","","","","","","","","","1011159",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-91 [20008]","TRACHYANDESITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","56.35","0.67","","15.01","","","","4.76","5.89","2.77","0.14","","3.84","2.88","0.28","","","","","","","","","","","","","","","","6.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1","","","","17","","","","","","","","154","461","19","187","10.4","","","","","","","","","","","","","1066","42.7","83.5","9.33","34.3","5.82","1.37","4.78","0.65","3.58","0.7","1.89","0.27","1.79","0.27","4.89","0.72","","","","","","","","","","","11.4","2.2","0.511731","","","0.710103","","","","","","","","","","","","","","","","","","","","","1011160",
"[20030]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","CHAZI, XURU LAKE","30.0883","30.0883","86.505","86.505","SAE","5010","5010","s_XR1102 [20030]","TRACHYANDESITE [20030]","","","","CENOZOIC [20030]","","","","","VOL","","","","","WR [20030] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000015","0.000004","","","","","","","","","","","","","0.716657","","","","","","","","","","","0.1924","","1.14","","","","","","","","1013324",
"[20030]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","MIBALE, DANGREYONG","30.73","30.73","86.7083","86.7083","SAE","4744","4744","s_DR1103 [20030]","TRACHYANDESITE [20030]","","","","CENOZOIC [20030]","","","","","VOL","","","","","WR [20030] ","53.5","1.67","","12.9","","","","5.86","6.84","5.93","0.08","","5.48","2.16","0.7","","","","","","","","","","","","","","","","2.84","","","","","","","","","","","","","","10.4","19.2","","","","","","","","","","","","","20","","145","304","","","28.2","175","45","74","25.6","","","","","1194","1173","27.3","837","40.6","","","","","","","","","","","","68.8","2289","144","343","46.4","201","33.4","4.97","16.2","1.58","6.28","0.91","2.39","0.29","1.73","0.25","23.8","2.18","","0.000066","0.000075","","","","","","62","","153","13.6","","","","0.719745","","","","","","","","","","","0.1904","","5.58","","","","","","","","1013328",
"[20030]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","MIBALE, DANGREYONG","30.73","30.73","86.7083","86.7083","SAE","4740","4740","s_DR1107 [20030]","TRACHYANDESITE [20030]","","","","CENOZOIC [20030]","","","","","VOL","","","","","WR [20030] ","52","1.56","","13.7","","","","6.3","6.36","6.66","0.1","","6.56","1.55","0.65","","","","","","","","","","","","","","","","2.27","","","","","","","","","","","","","","8.3","15.6","","","","","","","","","","","","","20.8","","158","225","","","27.6","136","30","97","24.6","","","","","683","1026","27.3","666","32.9","","","","","","","","","","","","5.5","2051","123","301","39.2","170","27.8","4.31","13.9","1.42","5.88","0.94","2.48","0.3","1.85","0.27","18.9","1.78","","0.000056","0.000088","","","","","","64","","126","11.4","","","","0.718702","","","","","","","","","","","0.1746","","7.63","","","","","","","","1013329",
"[20030]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","MIBALE, DANGREYONG","30.73","30.73","86.7083","86.7083","SAE","4734","4734","s_DR1113 [20030]","TRACHYANDESITE [20030]","","","","CENOZOIC [20030]","","","","","VOL","","","","","WR [20030] ","52","1.74","","13.3","","","","6.46","7.34","6.26","0.1","","6.03","1.73","0.75","","","","","","","","","","","","","","","","2.29","","","","","","","","","","","","","","18","17.9","","","","","","","","","","","","","21.9","","131","319","","","28.5","192","66","69","25.7","","","","","269","1208","29.9","885","42.8","","","","","","","","","","","","4","2542","157","386","51.3","219","35.8","5.59","18","1.76","6.82","1.05","2.79","0.36","1.98","0.29","25.6","2.32","","0.000045","0.000019","","","","","","69","","167","15.1","","","","0.719773","","","","","","","","","","","0.1734","","2.06","","","","","","","","1013330",
