"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-1 [20008]","TRACHYDACITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","67.96","0.39","","15.77","","","","2.5","1.77","0.66","0.05","","5.66","3.12","0.09","","","","","","","","","","","","","","","","1.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","","","3.87","","","","","","","","137","559","19.9","240","13.7","","","","","","","","","","","","","2150","50.9","84.6","9.32","30.7","5.05","1.17","4.13","0.64","3.15","0.61","1.97","0.27","1.85","0.27","5.83","0.94","","","","","","","","","","","19.4","4.02","0.511624","","","0.709842","","","","","","","","","","","","","","","","","","","","","1011161",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-2 [20008]","TRACHYDACITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","62.17","0.69","","15.45","","","","5.48","4.57","2.09","0.1","","2.27","3.95","0.27","","","","","","","","","","","","","","","","1.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.7","","","","23.2","","","","","","","","49.4","708","17.4","136","10.5","","","","","","","","","","","","","1220","46.9","83.4","9.54","32.7","5.53","1.4","4.38","0.64","2.86","0.55","1.63","0.21","1.37","0.2","3.45","0.72","","","","","","","","","","","13","2.61","0.511614","","","0.708292","","","","","","","","","","","","","","","","","","","","","1011162",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-4 [20008]","TRACHYDACITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","65.18","0.54","","15.69","","","","3.64","2.66","1.6","0.06","","4.3","3.82","0.15","","","","","","","","","","","","","","","","1.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6","","","","10.8","","","","","","","","111","437","19.5","213","12.3","","","","","","","","","","","","","1640","56.4","94.8","10.5","34.8","5.37","1.22","4.34","0.65","3.03","0.58","1.86","0.25","1.63","0.25","5.26","0.86","","","","","","","","","","","19.7","3.43","0.511578","","","0.709644","","","","","","","","","","","","","","","","","","","","","1011163",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-10 [20008]","TRACHYDACITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","63.2","0.7","","15.6","","","","4.78","2.92","2.33","0.07","","4.03","4.04","0.25","","","","","","","","","","","","","","","","0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.3","","","","17.4","","","","","","","","100","854","18.2","189","12","","","","","","","","","","","","","1640","52.4","93.4","10.6","35.9","6.03","1.39","4.68","0.67","3.04","0.56","1.7","0.21","1.4","0.2","4.41","0.68","","","","","","","","","","","13.4","2.45","","","","","","","","","","","","","","","","","","","","","","","","","1011164",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-15 [20008]","TRACHYDACITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","67.87","0.57","","16.01","","","","2.24","1.45","0.67","0.06","","5.42","4.3","0.11","","","","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2","","","","3.39","","","","","","","","155","341","23.8","363","18.5","","","","","","","","","","","","","1740","58.8","100","11.5","39.3","6.87","1.5","5.18","0.81","3.78","0.75","2.3","0.31","2.06","0.31","8","1","","","","","","","","","","","17.2","3.27","0.511748","","","0.710347","","","","","","","","","","","","","","","","","","","","","1011165",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-18 [20008]","TRACHYDACITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","67.88","0.58","","15.95","","","","2.19","1.44","0.61","0.06","","5.61","4.45","0.11","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2","","","","3.36","","","","","","","","163","323","25.4","366","18.5","","","","","","","","","","","","","1730","61.8","105","12","40.8","6.76","1.46","5.46","0.84","4.02","0.76","2.31","0.31","2.02","0.31","7.61","0.91","","","","","","","","","","","16.4","3.21","","","","","","","","","","","","","","","","","","","","","","","","","1011166",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-19 [20008]","TRACHYDACITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","67.53","0.58","","16.12","","","","2.26","1.37","0.63","0.06","","5.57","4.48","0.11","","","","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9","","","","3.32","","","","","","","","157","367","23.9","365","18.5","","","","","","","","","","","","","1940","57.6","102","11.5","38.4","6.59","1.48","5.01","0.8","3.73","0.72","2.14","0.29","1.97","0.28","7.35","1.03","","","","","","","","","","","15.8","3.03","0.511754","","","0.71017","","","","","","","","","","","","","","","","","","","","","1011167",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-20 [20008]","TRACHYDACITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","67.62","0.59","","16.04","","","","2.26","1.52","0.64","0.06","","5.57","4.4","0.11","","","","","","","","","","","","","","","","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5","","","","3.42","","","","","","","","158","339","24.2","367","18.8","","","","","","","","","","","","","1730","58.9","102","11.6","38.9","6.67","1.5","5.24","0.8","3.86","0.74","2.22","0.3","2.03","0.29","7.5","1.03","","","","","","","","","","","15.5","2.98","","","","","","","","","","","","","","","","","","","","","","","","","1011168",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-23 [20008]","TRACHYDACITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","65.91","0.45","","14.63","","","","2.92","2.81","1.48","0.06","","4.28","3.45","0.18","","","","","","","","","","","","","","","","3.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.4","","","","14.2","","","","","","","","130","351","13.3","164","11.4","","","","","","","","","","","","","1150","42.2","71.1","7.39","23.7","3.92","0.99","3.08","0.45","2.04","0.39","1.22","0.16","1.05","0.16","3.55","0.75","","","","","","","","","","","15.7","2.93","","","","","","","","","","","","","","","","","","","","","","","","","1011169",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-24 [20008]","TRACHYDACITE [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","66.64","0.42","","14.38","","","","2.65","2.29","1.35","0.05","","4.25","3.88","0.16","","","","","","","","","","","","","","","","3.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.1","","","","14.3","","","","","","","","123","356","13.2","152","11.3","","","","","","","","","","","","","1290","43.9","72.1","7.55","24.5","4.06","0.95","3.04","0.46","2.08","0.39","1.22","0.16","1.09","0.16","3.44","0.82","","","","","","","","","","","16.4","2.74","","","","","","","","","","","","","","","","","","","","","","","","","1011170",
