"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4686]","OCEAN ISLAND","MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DES NEIGES / OCEANITE SERIES","","-21","-21","55.85","55.85","SAE","","","s_RN95-29A [4686]","WEHRLITE, XENOLITH [4686]","","","","","","","","","PER","","","","","WR [4686] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.24","","","","","100445",
"[4686]","OCEAN ISLAND","MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DES NEIGES / OCEANITE SERIES","","-21","-21","55.85","55.85","SAE","","","s_RN95-29B [4686]","WEHRLITE, XENOLITH [4686]","","","","","","","","","PER","","","","","WR [4686] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.76","","","","","100446",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SAE","","","s_XN3 [20037]","WEHRLITE, XENOLITH [20037]","","","","","","","","","PER","","","F","","WR [20037] ","34.99","0.58","","20.98","0.24","","","16.37","3.08","25.03","0.17","","0.02","0.27","0.02","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","379","","","","","","","","38.9","","","","","0.5","24.9","2.9","11.4","1","","","","","","","","","","","","","11","1.2","2.6","0.37","1.8","0.47","0.18","0.58","0.1","0.61","0.11","0.34","0.04","0.32","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014392",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SAE","","","s_XN32 [20037]","WEHRLITE, XENOLITH [20037]","","","","","","","","","PER","","","F","","WR [20037] ","35.04","0.62","","20.29","0.28","","","15.95","3.15","25.56","0.15","","0.02","0.23","0.01","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","385","","","","","","","","38","","","","","0.4","25.2","2.8","12","1.2","","","","","","","","","","","","","10","1.4","2.4","0.38","1.7","0.45","0.19","0.56","0.1","0.63","0.12","0.36","0.03","0.34","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014393",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_AJE362 [20065]","WEHRLITE, XENOLITH [20065]","","","","","","","","COARSE-GRANULAR WITH OL 0.6–9 MM SURROUNDED BY AMOEBOID CPX 0.04–0.6 MM, OXIDE 0.05–0.2 MM [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000223","0.0030069","","","","","","","","","","","","","","","","","","","","","","","","0.1088","","0.03564","","","","","","","","1016618",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_AJE400 [20065]","WEHRLITE, XENOLITH [20065]","","","","","","","","COARSE-GRANULAR WITH OL 0.5–18 MM, AMOEBOID CPX 1–12 MM, PHL 0.4–0.5 MM AND OXIDE 0.005–1.1 MM [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000116","0.0022979","","","","","","","","","","","","","","","","","","","","","","","","0.1096","","0.24268","","","","","","","","1016619",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_AJE401 [20065]","WEHRLITE, XENOLITH [20065]","","","","","","","","PORPHYROCLASTIC WITH OL-PC 1–12 MM SURROUNDED BY 72 VOL % RECRYSTALLIZATED OL-NB 0.005–0.3 MM, AMOEBOID CPX, GRT AND PHL 0.1–5 MM IN SIZE ARE ORIENTED ALONG FOLIATION [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000256","0.0059832","","","","","","","","","","","","","","","","","","","","","","","","0.1097","","0.02061","","","","","","","","1016620",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0214 [20065]","WEHRLITE, XENOLITH [20065]","","","","","","","","PORPHYROCLASTIC WITH OL-PC 0.3-6 MM SURROUNDED BY 65 VOL % RECRYSTALLIZED OL-NB 0.02–0.2 MM, AMOEBOID CPX 0.6–5 MM CRYSTALLIZED WITH AMOEBOID RT 0.1–5 MM [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000875","0.0027968","","","","","","","","","","","","","","","","","","","","","","","","0.108","","1.495","","","","","","","","1016621",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0256 [20065]","WEHRLITE, XENOLITH [20065]","","","","","","","","PORPHYROCLASTIC WITH OL-PC 1-15 MM AND 25 VOL % RECRYSTALLIZED OL-NB 0.02–0.1 MM, AMOEBOID, INTERGROWN CPX AND OPX 0.1–11 MM WITH EUHEDRAL GRT 0.02–1 MM, ANHEDRAL PHL 0.02–1 MM AND OXIDE 0.002–0.2 MM [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000112","0.0020309","","","","","","","","","","","","","","","","","","","","","","","","0.1097","","0.264","","","","","","","","1016623",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0258A [20065]","WEHRLITE, XENOLITH [20065]","","","","","","","","COARSE-GRANULAR WITH OL 2–8 MM, AMOEBOID CPX 0.15–4 MM AND SPL 5-50 ?M [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000609","0.0007351","","","","","","","","","","","","","","","","","","","","","","","","0.1136","","0.39851","","","","","","","","1016624",
"[20065]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / KIMBERLEY KIMBERLITE","KIMBERLEY PIPE","-28.741","-28.741","24.764","24.764","SAE","","","s_DJ0271 [20065]","WEHRLITE, XENOLITH [20065]","","","","","","","","COARSE-GRANULAR WITH OL 0.2-16 MM, AMOEBOID, INTERGROWN CPX, GRT AND OXIDE 0.1–10 MM [20065] ","PER","","","","","WR [20065] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000061","0.006643","","","","","","","","","","","","","","","","","","","","","","","","0.1072","","0.04416","","","","","","","","1016625",
